Stop_stn,Ride_time,sub
CZJ_1,08:01:02,0 days 01:02:53
DOM_1,08:34:21,0 days 00:38:16
NR_1,12:53:04,0 days 00:00:00
BMY_1,12:54:51,0 days 00:01:47
DIR_1,12:56:49,0 days 00:03:45
EJV_1,12:58:23,0 days 00:05:19
QE_1,13:00:08,0 days 00:07:04
BA_1,13:00:37,0 days 00:07:33
DTG_1,13:02:31,0 days 00:09:27
CBR_1,13:02:52,0 days 00:09:48
AMJ_1,13:14:32,0 days 00:21:28
DWK_1,13:15:58,0 days 00:22:54
DEC_1,13:17:08,0 days 00:24:04
DUV_1,13:17:45,0 days 00:24:41
FKH_1,13:19:06,0 days 00:26:02
AVR_1,13:19:51,0 days 00:26:47
ACE_1,13:21:01,0 days 00:27:57
LO_2,13:22:20,0 days 00:29:16
CTO_1,13:24:32,0 days 00:31:28
AJI_1,13:26:36,0 days 00:33:32
BDI_1,13:28:31,0 days 00:35:27
CRD_1,13:30:59,0 days 00:37:55
LQ_2,13:33:21,0 days 00:40:17
ADC_1,13:35:08,0 days 00:42:04
BEW_1,13:36:23,0 days 00:43:19
IP_2,13:38:08,0 days 00:45:04
CBU_1,13:40:03,0 days 00:46:59
ENW_1,13:41:31,0 days 00:48:27
CTI_1,13:43:11,0 days 00:50:07
DBB_1,13:44:36,0 days 00:51:32
ADI_1,13:46:14,0 days 00:53:10
YV_1,13:48:04,0 days 00:55:00
