Stop_stn,Ride_time,sub
DJ_1,07:40:31,0 days 00:00:00
EHL_1,07:42:15,0 days 00:01:44
EK_2,07:45:01,0 days 00:04:30
CIX_1,07:45:47,0 days 00:05:16
HC_2,07:47:25,0 days 00:06:54
HX_1,07:49:17,0 days 00:08:46
DPR_1,07:51:14,0 days 00:10:43
JY_1,07:52:44,0 days 00:12:13
HM_1,07:53:48,0 days 00:13:17
CN_2,07:55:44,0 days 00:15:13
IT_1,07:57:32,0 days 00:17:01
FCE_1,07:59:46,0 days 00:19:15
CBU_1,08:09:53,0 days 01:01:53
LQ_2,08:35:08,0 days 00:54:37
ADC_1,08:37:40,0 days 00:57:09
BEW_1,08:39:51,0 days 00:59:20
IP_2,08:42:26,0 days 01:01:55
ENW_1,08:50:23,0 days 01:09:52
CTI_1,08:52:45,0 days 01:12:14
DBB_1,08:55:53,0 days 01:15:22
ADI_1,08:59:25,0 days 01:18:54
