Stop_stn,Ride_time,sub
CRB_1,07:01:20,0 days 00:00:00
EVR_1,07:04:55,0 days 00:03:35
DZM_1,07:07:40,0 days 00:06:20
CBO_1,07:09:46,0 days 00:08:26
ATX_1,07:11:21,0 days 00:10:01
EJX_1,07:13:11,0 days 00:11:51
EAS_1,07:13:48,0 days 00:12:28
BS_3,07:18:14,0 days 00:16:54
AAM_1,07:19:59,0 days 00:18:39
CG_3,07:22:17,0 days 00:20:57
AZM_1,07:23:01,0 days 00:21:41
EEW_1,07:24:22,0 days 00:23:02
ZR_1,07:26:14,0 days 00:24:54
CZ_3,07:27:34,0 days 00:26:14
BYU_1,14:11:56,0 days 00:23:52
EV_2,14:21:09,0 days 00:34:34
EAM_1,19:17:21,0 days 05:10:28
