Stop_stn,Ride_time,sub
GY_2,08:12:56,0 days 00:00:00
EHT_1,08:18:57,0 days 00:06:01
PP_2,08:20:43,0 days 00:07:47
BU_3,08:24:56,0 days 00:12:00
AMW_1,08:27:16,0 days 00:14:20
LN_2,08:28:25,0 days 00:15:29
CPL_1,08:29:18,0 days 00:16:22
IE_2,08:30:39,0 days 00:17:43
JV_2,08:31:45,0 days 00:18:49
BI_3,08:32:54,0 days 00:19:58
BBZ_1,08:34:14,0 days 00:21:18
EKB_1,08:37:39,0 days 00:24:43
CLJ_1,08:39:13,0 days 00:26:17
BJH_1,08:40:52,0 days 00:27:56
AJ_4,08:42:15,0 days 00:29:19
AF_4,08:43:51,0 days 00:30:55
BNR_1,08:46:26,0 days 00:33:30
IR_2,08:47:52,0 days 00:34:56
PN_2,08:49:21,0 days 00:36:25
AAC_1,08:50:51,0 days 00:37:55
EZU_1,08:52:03,0 days 00:39:07
DWB_1,08:52:47,0 days 00:39:51
EJJ_1,08:53:54,0 days 00:40:58
BRJ_1,08:56:05,0 days 00:43:09
E_5,08:57:02,0 days 00:44:06
IF_2,08:58:11,0 days 00:45:15
RR_1,09:00:29,0 days 00:47:33
