Stop_stn,Ride_time,sub
ESD_1,07:03:05,0 days 00:00:00
IX_2,07:07:18,0 days 00:04:13
DQF_1,07:10:43,0 days 00:07:38
CRT_1,07:11:50,0 days 00:08:45
LE_2,07:15:05,0 days 00:12:00
ECX_1,07:16:16,0 days 00:13:11
CZ_2,07:17:12,0 days 00:14:07
EMA_1,07:19:37,0 days 00:16:32
EUF_1,07:20:01,0 days 00:16:56
DRV_1,07:22:42,0 days 00:19:37
KJ_2,07:23:57,0 days 00:20:52
DVH_1,07:25:22,0 days 00:22:17
DTY_1,07:27:11,0 days 00:24:06
DA_1,07:28:27,0 days 00:25:22
CS_3,07:29:15,0 days 00:26:10
CR_3,07:30:00,0 days 00:26:55
F_4,07:31:21,0 days 00:28:16
CIR_1,07:36:54,0 days 00:33:49
BLZ_1,07:37:51,0 days 00:34:46
AM_3,07:39:24,0 days 00:36:19
EZQ_1,07:40:07,0 days 00:37:02
DH_2,07:42:58,0 days 00:39:53
CLZ_1,07:45:19,0 days 00:42:14
