Stop_stn,Ride_time,sub
AOG_1,07:09:21,0 days 00:00:00
DFP_1,07:13:21,0 days 00:04:00
BN_1,07:17:00,0 days 00:07:39
DC_1,07:20:41,0 days 00:11:20
ATG_1,07:22:38,0 days 00:13:17
DQM_1,07:24:17,0 days 00:14:56
BUL_1,07:27:04,0 days 00:17:43
ABR_1,07:29:25,0 days 00:20:04
CUL_1,07:30:37,0 days 00:21:16
ANP_1,07:31:36,0 days 00:22:15
MV_1,07:33:17,0 days 00:23:56
AX_2,07:34:09,0 days 00:24:48
EJO_1,07:37:24,0 days 00:28:03
BQ_1,07:38:21,0 days 00:29:00
IR_1,07:40:01,0 days 00:30:40
PB_1,07:43:34,0 days 00:34:13
CVR_1,07:44:19,0 days 00:34:58
IU_1,07:46:17,0 days 00:36:56
