Stop_stn,Ride_time,sub
ET_2,08:20:15,0 days 00:00:00
EEL_1,08:24:25,0 days 00:04:10
BTN_1,08:25:28,0 days 00:05:13
AB_4,08:26:33,0 days 00:06:18
T_2,08:27:46,0 days 00:07:31
AB_3,08:28:36,0 days 00:08:21
ASC_1,08:30:53,0 days 00:10:38
K_3,08:32:06,0 days 00:11:51
I_3,08:33:09,0 days 00:12:54
AHL_1,08:35:15,0 days 00:15:00
ALL_1,08:39:22,0 days 00:19:07
ATL_1,08:41:19,0 days 00:21:04
CO_1,08:42:22,0 days 00:22:07
DJ_1,08:43:46,0 days 00:23:31
EHL_1,08:44:45,0 days 00:24:30
BGB_1,08:45:47,0 days 00:25:32
EK_2,08:46:40,0 days 00:26:25
CIX_1,08:47:33,0 days 00:27:18
ELE_1,08:48:25,0 days 00:28:10
BTZ_1,08:49:31,0 days 00:29:16
DSY_1,08:52:28,0 days 00:32:13
