Stop_stn,Ride_time,sub
FCI_1,17:05:57,0 days 00:00:00
CZX_1,17:09:00,0 days 00:03:03
CY_1,17:10:31,0 days 00:04:34
ADN_1,17:11:29,0 days 00:05:32
DYT_1,17:12:34,0 days 00:06:37
DHU_1,17:13:53,0 days 00:07:56
BSL_1,17:16:09,0 days 00:10:12
DXN_1,17:17:28,0 days 00:11:31
CX_1,17:17:54,0 days 00:11:57
DC_2,17:19:09,0 days 00:13:12
CHM_1,17:21:39,0 days 00:15:42
OY_1,17:22:29,0 days 00:16:32
EID_1,17:23:42,0 days 00:17:45
COE_1,17:24:59,0 days 00:19:02
SC_1,17:26:29,0 days 00:20:32
ELH_1,17:28:44,0 days 00:22:47
COZ_1,17:31:20,0 days 00:25:23
EI_1,17:37:03,0 days 00:31:06
DSX_1,17:38:51,0 days 00:32:54
AKE_1,17:41:12,0 days 00:35:15
CCL_1,17:42:37,0 days 00:36:40
AAX_1,17:45:19,0 days 00:39:22
SO_1,17:47:00,0 days 00:41:03
BKL_1,17:48:32,0 days 00:42:35
S_2,17:51:16,0 days 00:45:19
KO_1,17:52:35,0 days 00:46:38
BKR_1,17:53:29,0 days 00:47:32
CWI_1,17:54:39,0 days 00:48:42
DXG_1,17:56:35,0 days 00:50:38
PE_1,17:58:36,0 days 00:52:39
DZS_1,17:59:26,0 days 00:53:29
BT_1,18:00:13,0 days 00:54:16
BT_2,18:00:53,0 days 00:07:48
CY_2,18:01:03,0 days 00:55:06
EEH_1,18:01:57,0 days 00:56:00
AVB_1,18:26:07,0 days 00:33:43
