Stop_stn,Ride_time,sub
EDE_1,19:34:56,0 days 00:00:00
EKO_1,19:38:15,0 days 00:03:19
BVH_1,19:39:26,0 days 00:04:30
EPL_1,19:42:32,0 days 00:07:36
DRA_1,19:43:59,0 days 00:09:03
QD_1,19:45:51,0 days 00:10:55
AR_2,19:46:24,0 days 00:11:28
AG_3,19:47:14,0 days 00:12:18
AON_1,19:49:00,0 days 00:14:04
DYA_1,19:50:25,0 days 00:15:29
AFG_1,19:52:43,0 days 00:17:47
JY_2,19:54:54,0 days 00:19:58
GM_1,19:56:53,0 days 00:21:57
CGN_1,19:58:50,0 days 00:23:54
CWQ_1,19:59:40,0 days 00:24:44
BSZ_1,20:03:03,0 days 00:28:07
DRG_1,20:03:59,0 days 00:29:03
DV_2,20:06:30,0 days 00:31:34
CMO_1,20:09:15,0 days 00:34:19
BFH_1,20:10:10,0 days 00:35:14
FD_2,20:11:43,0 days 00:36:47
AD_3,20:14:19,0 days 00:39:23
KA_1,20:17:09,0 days 00:42:13
AUJ_1,20:19:12,0 days 00:44:16
AZH_1,20:20:27,0 days 00:45:31
CJT_1,20:22:05,0 days 00:47:09
DV_1,20:23:10,0 days 00:48:14
BQM_1,20:25:13,0 days 00:50:17
EKL_1,20:26:38,0 days 00:51:42
NS_2,20:28:19,0 days 00:53:23
CCE_1,20:29:42,0 days 00:54:46
BQ_2,20:30:58,0 days 00:56:02
FJ_2,20:31:39,0 days 00:56:43
GN_2,20:33:36,0 days 00:58:40
IK_2,20:35:10,0 days 01:00:14
AFD_1,20:36:18,0 days 01:01:22
AGJ_1,20:38:32,0 days 01:03:36
BWL_1,20:40:11,0 days 01:05:15
CW_3,20:41:43,0 days 01:06:47
EQK_1,20:43:48,0 days 01:08:52
DQW_1,20:46:46,0 days 01:11:50
FU_1,20:47:52,0 days 01:12:56
