Stop_stn,Ride_time,sub
COZ_1,07:13:13,0 days 00:00:00
CVB_1,07:19:00,0 days 00:05:47
SE_1,07:22:08,0 days 00:08:55
CRJ_1,07:24:26,0 days 00:11:13
F_2,07:26:11,0 days 00:12:58
OX_1,07:29:34,0 days 00:16:21
BB_1,07:32:57,0 days 00:19:44
CIK_1,07:35:05,0 days 00:21:52
BL_1,07:36:59,0 days 00:23:46
IX_1,07:38:33,0 days 00:25:20
EOA_1,07:40:57,0 days 00:27:44
DU_1,07:43:47,0 days 00:30:34
XF_1,07:45:12,0 days 00:31:59
DWO_1,07:48:18,0 days 00:35:05
V_2,07:49:27,0 days 00:36:14
Q_3,07:50:31,0 days 00:37:18
WZ_1,07:51:22,0 days 00:38:09
EWA_1,07:52:04,0 days 00:38:51
BKB_1,07:53:49,0 days 00:40:36
EVB_1,07:56:20,0 days 00:43:07
CMR_1,07:57:44,0 days 00:44:31
EWL_1,07:59:17,0 days 00:46:04
DYE_1,08:00:16,0 days 00:47:03
COH_1,08:01:11,0 days 00:47:58
CI_1,08:02:37,0 days 00:49:24
ADW_1,08:03:35,0 days 00:50:22
AMQ_1,08:04:35,0 days 00:51:22
BFY_1,08:07:15,0 days 00:54:02
BST_1,08:08:50,0 days 00:55:37
CHE_1,08:10:19,0 days 00:57:06
AGI_1,08:14:19,0 days 01:01:06
IM_2,08:15:17,0 days 01:02:04
EBL_1,08:20:57,0 days 01:07:44
X_3,08:22:13,0 days 01:09:00
OW_2,08:23:53,0 days 01:10:40
DZB_1,08:29:12,0 days 01:15:59
EFA_1,08:30:29,0 days 01:17:16
J_1,08:32:46,0 days 01:19:33
BZX_1,08:34:52,0 days 01:21:39
G_1,08:35:26,0 days 01:22:13
BAA_1,08:38:38,0 days 01:25:25
BE_2,08:41:58,0 days 01:28:45
CRG_1,08:43:28,0 days 01:30:15
AX_1,09:52:19,0 days 01:01:58
