Stop_stn,Ride_time,sub
CRG_1,07:07:53,0 days 00:00:00
CQV_1,07:09:27,0 days 00:01:34
BWP_1,07:11:21,0 days 00:03:28
DXK_1,07:12:40,0 days 00:04:47
CK_1,07:13:28,0 days 00:05:35
ABL_1,07:16:32,0 days 00:08:39
DUZ_1,07:17:18,0 days 00:09:25
EOP_1,07:20:22,0 days 00:12:29
EUA_1,07:25:11,0 days 00:17:18
BNK_1,07:28:03,0 days 00:20:10
BJI_1,07:28:54,0 days 00:21:01
APG_1,07:30:08,0 days 00:22:15
ERP_1,07:35:42,0 days 00:27:49
ARG_1,07:38:41,0 days 00:30:48
EKF_1,07:39:29,0 days 00:31:36
EEJ_1,07:41:31,0 days 00:33:38
BCD_1,07:42:27,0 days 00:34:34
CGY_1,07:43:29,0 days 00:35:36
DLN_1,07:45:18,0 days 00:37:25
CVW_1,07:46:26,0 days 00:38:33
BYO_1,07:47:43,0 days 00:39:50
DGN_1,07:51:02,0 days 00:43:09
DXW_1,07:51:54,0 days 00:44:01
A_1,07:54:36,0 days 00:46:43
AQD_1,07:55:40,0 days 00:47:47
DAV_1,07:56:47,0 days 00:48:54
N_1,07:59:57,0 days 00:52:04
AB_1,08:00:48,0 days 00:52:55
ELG_1,08:02:37,0 days 00:54:44
AXM_1,08:03:42,0 days 00:55:49
ERG_1,08:05:18,0 days 00:57:25
AJO_1,08:06:55,0 days 00:59:02
DZL_1,08:08:03,0 days 01:00:10
FKI_1,08:08:33,0 days 00:22:07
DGC_1,08:09:30,0 days 01:01:37
DAL_1,08:09:31,0 days 00:19:15
TL_1,08:10:27,0 days 00:23:59
E_2,08:11:00,0 days 01:03:07
BY_1,08:13:41,0 days 01:05:48
BAW_1,08:14:45,0 days 01:06:52
BWO_1,08:17:32,0 days 01:09:39
AVW_1,08:20:51,0 days 01:12:58
