Stop_stn,Ride_time,sub
BUSPARK,06:54:54,0 days 00:00:00
BVJ_1,06:55:40,0 days 00:00:46
BZ_3,06:56:49,0 days 00:01:55
AQU_1,06:57:37,0 days 00:02:43
JI_2,06:58:34,0 days 00:03:40
DBZ_1,06:59:15,0 days 00:04:21
DYU_1,07:01:01,0 days 00:06:07
DMP_1,07:02:09,0 days 00:07:15
ERQ_1,07:03:18,0 days 00:08:24
DTP_1,07:04:49,0 days 00:09:55
DDZ_1,07:06:33,0 days 00:11:39
AN_4,07:07:39,0 days 00:12:45
NX_2,07:08:12,0 days 00:13:18
DSK_1,07:10:14,0 days 00:15:20
EFV_1,07:11:14,0 days 00:16:20
AKM_1,07:12:38,0 days 00:17:44
CAV_1,07:14:33,0 days 00:19:39
ERV_1,07:15:51,0 days 00:20:57
EBY_1,07:17:21,0 days 00:22:27
ESX_1,07:18:23,0 days 00:23:29
FJG_1,07:19:59,0 days 00:25:05
EQN_1,07:21:59,0 days 00:27:05
DGN_1,07:24:14,0 days 00:29:20
DXW_1,07:26:08,0 days 00:31:14
A_1,07:28:27,0 days 00:33:33
AQD_1,07:29:15,0 days 00:34:21
EQU_1,07:31:10,0 days 00:36:16
ABA_1,07:33:18,0 days 00:38:24
ECD_1,07:35:02,0 days 00:40:08
BZW_1,07:37:28,0 days 00:42:34
ASR_1,07:38:55,0 days 00:44:01
DDT_1,07:39:41,0 days 00:44:47
DHR_1,07:41:56,0 days 00:47:02
ATE_1,07:44:10,0 days 00:49:16
CBQ_1,07:45:12,0 days 00:50:18
BHO_1,07:49:06,0 days 00:54:12
J_2,07:49:50,0 days 00:54:56
DB_1,07:51:04,0 days 00:56:10
NV_1,07:51:36,0 days 00:56:42
EIA_1,07:51:58,0 days 00:39:18
FG_1,07:52:46,0 days 00:57:52
BVX_1,07:54:08,0 days 00:59:14
J_1,07:56:06,0 days 01:01:12
ATM_1,07:57:55,0 days 01:03:01
DIW_1,07:58:48,0 days 01:03:54
DFQ_1,07:59:47,0 days 01:04:53
DCV_1,08:03:30,0 days 01:08:36
BCF_1,08:05:31,0 days 01:10:37
DCT_1,08:06:28,0 days 01:11:34
BWG_1,08:07:22,0 days 01:12:28
DED_1,08:08:13,0 days 00:58:55
COB_1,08:08:26,0 days 01:13:32
ALX_1,08:10:27,0 days 01:15:33
QT_1,08:11:31,0 days 01:16:37
EGF_1,08:12:51,0 days 01:17:57
DIC_1,08:13:45,0 days 01:18:51
CSB_1,08:14:49,0 days 01:19:55
BXV_1,08:17:21,0 days 01:22:27
EIR_1,08:19:23,0 days 01:24:29
EHE_1,08:20:36,0 days 01:25:42
DKK_1,08:25:31,0 days 01:30:37
DIY_1,08:26:56,0 days 01:32:02
EHJ_1,08:27:57,0 days 01:33:03
CLR_1,08:29:34,0 days 01:34:40
CKI_1,08:30:25,0 days 01:35:31
EFS_1,08:32:38,0 days 01:37:44
DKS_1,08:33:33,0 days 01:38:39
CNI_1,08:34:59,0 days 01:40:05
CWV_1,08:36:33,0 days 01:41:39
QQ_1,08:37:26,0 days 01:42:32
BWV_1,08:39:38,0 days 01:44:44
EHW_1,08:41:48,0 days 01:46:54
BYC_1,08:46:23,0 days 01:51:29
EEF_1,08:48:07,0 days 01:53:13
ACQ_1,08:49:09,0 days 01:54:15
ENV_1,08:50:49,0 days 01:55:55
BP_2,08:53:16,0 days 01:58:22
NQ_2,08:55:37,0 days 02:00:43
O_1,08:56:23,0 days 02:01:29
EZE_1,08:57:44,0 days 02:02:50
FBT_1,19:50:30,0 days 02:12:17
