Stop_stn,Ride_time,sub
DXP_1,07:06:30,0 days 00:00:00
CW_1,07:11:51,0 days 00:05:21
GO_1,07:13:38,0 days 00:07:08
BYJ_1,07:15:58,0 days 00:09:28
BAE_1,07:16:43,0 days 00:10:13
EPG_1,07:18:28,0 days 00:11:58
BJF_1,07:20:35,0 days 00:14:05
CTB_1,07:21:12,0 days 00:14:42
CIA_1,07:22:24,0 days 00:15:54
CSE_1,07:23:34,0 days 00:17:04
EK_1,07:25:19,0 days 00:18:49
DUS_1,07:26:22,0 days 00:19:52
HB_2,07:29:50,0 days 00:23:20
AUF_1,07:31:22,0 days 00:24:52
CZR_1,07:32:18,0 days 00:25:48
DAB_1,07:33:39,0 days 00:27:09
BOH_1,07:35:04,0 days 00:28:34
AKD_1,07:40:05,0 days 00:33:35
CCV_1,07:40:47,0 days 00:34:17
ADQ_1,07:42:08,0 days 00:35:38
BEF_1,07:44:09,0 days 00:37:39
CYA_1,07:45:35,0 days 00:39:05
CKC_1,07:47:33,0 days 00:41:03
EVM_1,07:48:42,0 days 00:42:12
EDZ_1,07:50:41,0 days 00:44:11
FKI_1,07:52:54,0 days 00:46:24
DAL_1,07:53:30,0 days 00:47:00
TL_1,07:54:54,0 days 00:48:24
ARG_1,07:57:17,0 days 00:50:47
EKF_1,07:58:40,0 days 00:52:10
EEJ_1,08:00:35,0 days 00:54:05
BCD_1,08:01:40,0 days 00:55:10
CGY_1,08:03:31,0 days 00:57:01
AJI_1,08:05:49,0 days 00:59:19
BDI_1,08:07:04,0 days 01:00:34
CRD_1,08:09:19,0 days 01:02:49
LQ_2,08:12:32,0 days 01:06:02
ADC_1,08:14:03,0 days 01:07:33
BEW_1,08:16:26,0 days 01:09:56
IP_2,08:18:53,0 days 01:12:23
AFA_1,08:21:37,0 days 01:15:07
AZY_1,08:51:50,0 days 00:24:13
CYU_1,09:06:56,0 days 00:37:55
BBD_1,09:47:59,0 days 01:20:14
DLO_1,09:50:14,0 days 00:35:31
EEE_1,09:52:04,0 days 00:37:31
ERP_1,09:59:06,0 days 00:44:19
