Stop_stn,Ride_time,sub
CRB_1,07:50:53,0 days 00:00:00
EVR_1,07:55:39,0 days 00:04:46
DZM_1,07:57:57,0 days 00:07:04
CBO_1,07:59:26,0 days 00:08:33
ATX_1,08:00:38,0 days 00:09:45
EIG_1,08:02:47,0 days 00:11:54
EEB_1,08:03:45,0 days 00:12:52
CXB_1,08:05:08,0 days 00:14:15
COR_1,08:07:39,0 days 00:10:11
BLC_1,08:07:47,0 days 00:16:54
BPM_1,08:09:04,0 days 00:18:11
DII_1,08:10:11,0 days 00:19:18
ASN_1,08:11:32,0 days 00:20:39
AKK_1,08:12:34,0 days 00:21:41
AEL_1,08:13:28,0 days 00:22:35
CGB_1,08:14:30,0 days 00:23:37
CON_1,08:16:47,0 days 00:25:54
EII_1,08:17:52,0 days 00:26:59
EMS_1,08:19:08,0 days 00:28:15
YH_1,08:20:15,0 days 00:29:22
AAU_1,09:03:33,0 days 00:21:54
