Stop_stn,Ride_time,sub
EAY_1,08:11:25,0 days 00:29:20
VO_1,08:22:55,0 days 00:43:39
KM_2,13:40:25,0 days 00:39:00
AEG_1,17:52:42,0 days 00:00:00
CDG_1,17:54:11,0 days 00:01:29
CXM_1,17:54:59,0 days 00:02:17
DSU_1,17:55:58,0 days 00:03:16
EVC_1,17:57:13,0 days 00:04:31
BZL_1,17:58:05,0 days 00:05:23
EVI_1,17:59:11,0 days 00:06:29
EGP_1,18:00:20,0 days 00:07:38
PW_2,18:00:53,0 days 00:08:11
CHE_1,18:04:47,0 days 00:12:05
AGI_1,18:06:31,0 days 00:13:49
IM_2,18:11:54,0 days 00:19:12
EBL_1,18:14:39,0 days 00:21:57
U_2,18:16:50,0 days 00:24:08
EUX_1,18:19:57,0 days 00:27:15
NZ_1,18:21:18,0 days 00:28:36
DMI_1,18:26:05,0 days 00:33:23
CRU_1,18:27:12,0 days 00:34:30
DUJ_1,18:31:21,0 days 00:38:39
FS_2,18:34:37,0 days 00:41:55
CHS_1,18:37:36,0 days 00:44:54
BFF_1,18:38:41,0 days 00:45:59
DMG_1,18:39:54,0 days 00:47:12
DQE_1,18:41:07,0 days 00:48:25
UX_1,18:41:53,0 days 00:49:11
EJN_1,18:43:12,0 days 00:50:30
