Stop_stn,Ride_time,sub
FX_2,18:16:23,0 days 00:00:00
VQ_1,18:20:16,0 days 00:03:53
EOZ_1,18:22:51,0 days 00:06:28
DAF_1,18:24:21,0 days 00:07:58
FB_1,18:25:10,0 days 00:08:47
AS_3,18:28:27,0 days 00:12:04
CBY_1,18:30:32,0 days 00:14:09
GV_2,18:34:03,0 days 00:17:40
LL_1,18:35:25,0 days 00:19:02
BR_3,18:36:39,0 days 00:20:16
LL_2,18:38:27,0 days 00:22:04
AXY_1,18:40:55,0 days 00:24:32
DNQ_1,18:41:44,0 days 00:25:21
AED_1,18:44:37,0 days 00:28:14
EWS_1,18:48:24,0 days 00:32:01
BJW_1,18:49:43,0 days 00:33:20
FZ_1,18:52:17,0 days 00:35:54
AKZ_1,18:53:01,0 days 00:36:38
GR_2,18:55:22,0 days 00:38:59
DAD_1,18:58:29,0 days 00:42:06
BX_3,19:00:31,0 days 00:44:08
EIL_1,19:02:09,0 days 00:45:46
DNG_1,19:03:02,0 days 00:46:39
APP_1,19:04:14,0 days 00:47:51
CUR_1,19:06:01,0 days 00:49:38
EL_2,19:06:59,0 days 00:50:36
GY_2,19:10:08,0 days 00:53:45
