Stop_stn,Ride_time,sub
KI_1,07:30:41,0 days 00:00:00
ALW_1,07:34:14,0 days 00:03:33
BMT_1,07:35:21,0 days 00:04:40
CLC_1,07:37:09,0 days 00:06:28
DAK_1,07:38:05,0 days 00:07:24
H_4,07:39:57,0 days 00:09:16
DRY_1,07:41:29,0 days 00:10:48
P_3,07:43:35,0 days 00:12:54
AJ_3,07:45:30,0 days 00:14:49
CKV_1,07:47:10,0 days 00:16:29
EGH_1,07:48:38,0 days 00:17:57
BIM_1,07:50:32,0 days 00:19:51
EIO_1,07:51:44,0 days 00:21:03
EKP_1,07:53:10,0 days 00:22:29
OO_2,07:56:04,0 days 00:25:23
AWZ_1,07:57:13,0 days 00:26:32
BQK_1,07:57:48,0 days 00:27:07
CFR_1,07:58:50,0 days 00:28:09
K_4,07:59:56,0 days 00:29:15
AD_2,08:03:44,0 days 00:33:03
PP_1,08:05:07,0 days 00:34:26
BYV_1,08:05:58,0 days 00:35:17
ATJ_1,08:07:29,0 days 00:36:48
LU_2,08:09:37,0 days 00:38:56
BSJ_1,08:10:38,0 days 00:39:57
AH_3,08:11:44,0 days 00:41:03
NP_2,08:14:53,0 days 00:44:12
CWS_1,08:16:35,0 days 00:45:54
DDZ_1,08:18:54,0 days 00:48:13
AN_4,08:20:07,0 days 00:49:26
NX_2,08:21:01,0 days 00:50:20
DSK_1,08:21:44,0 days 00:51:03
EFV_1,08:24:26,0 days 00:53:45
AKM_1,08:26:26,0 days 00:55:45
CAV_1,08:27:11,0 days 00:56:30
ERV_1,08:29:17,0 days 00:58:36
EBY_1,08:29:57,0 days 00:59:16
ESW_1,08:32:39,0 days 01:01:58
FIP_1,08:34:38,0 days 01:03:57
EAD_1,08:36:31,0 days 01:05:50
AKV_1,08:37:17,0 days 01:06:36
CFE_1,08:38:36,0 days 01:07:55
FP_2,08:40:32,0 days 01:09:51
KV_1,08:42:12,0 days 01:11:31
CEQ_1,08:44:18,0 days 01:13:37
DZD_1,08:46:55,0 days 01:16:14
AUB_1,10:50:07,0 days 01:29:40
OW_1,11:08:08,0 days 01:40:32
CC_1,11:17:42,0 days 01:48:48
