Stop_stn,Ride_time,sub
GY_2,07:23:41,0 days 00:00:00
BAC_1,07:27:13,0 days 00:03:32
CMV_1,07:28:22,0 days 00:04:41
CYB_1,07:31:56,0 days 00:08:15
ELB_1,07:33:51,0 days 00:10:10
CWT_1,07:35:39,0 days 00:11:58
AQT_1,07:37:00,0 days 00:13:19
API_1,07:37:35,0 days 00:13:54
DOU_1,07:39:32,0 days 00:15:51
CAG_1,07:41:51,0 days 00:18:10
UC_1,07:42:37,0 days 00:18:56
AX_3,07:44:11,0 days 00:20:30
LD_2,07:45:57,0 days 00:22:16
CZY_1,07:49:04,0 days 00:25:23
UK_1,07:51:18,0 days 00:27:37
CZO_1,07:52:16,0 days 00:28:35
CTA_1,07:54:38,0 days 00:30:57
EBI_1,07:57:15,0 days 00:33:34
BMR_1,07:59:51,0 days 00:36:10
DUE_1,08:02:38,0 days 00:38:57
CSA_1,08:02:55,0 days 00:39:14
FI_2,08:04:15,0 days 00:40:34
AWO_1,08:07:23,0 days 00:43:42
DAS_1,08:11:47,0 days 00:48:06
CKK_1,08:14:06,0 days 00:50:25
BED_1,08:14:26,0 days 00:50:45
EQO_1,08:18:46,0 days 00:55:05
PK_1,08:21:03,0 days 00:57:22
EQN_1,08:22:30,0 days 00:58:49
LQ_1,08:23:42,0 days 01:00:01
BZI_1,08:26:35,0 days 01:02:54
BRE_1,08:27:57,0 days 01:04:16
CQN_1,08:29:13,0 days 01:05:32
ADE_1,08:31:16,0 days 01:07:35
RT_1,08:34:17,0 days 01:10:36
BCC_1,08:37:26,0 days 01:13:45
ARZ_1,08:38:42,0 days 01:15:01
PC_1,08:38:59,0 days 01:15:18
EES_1,08:43:26,0 days 01:19:45
DAV_1,08:48:04,0 days 01:24:23
N_1,08:50:03,0 days 01:26:22
AB_1,08:51:07,0 days 01:27:26
ELG_1,08:52:31,0 days 01:28:50
AXM_1,08:55:25,0 days 01:31:44
BZW_1,08:58:09,0 days 01:34:28
AXX_1,08:59:28,0 days 01:35:47
BE_1,08:59:33,0 days 01:35:52
CRG_1,09:07:31,0 days 01:43:50
EWV_1,17:33:30,0 days 00:13:51
