Stop_stn,Ride_time,sub
DZ_2,07:51:02,0 days 00:00:00
EEY_1,07:53:32,0 days 00:02:30
CV_1,07:54:33,0 days 00:03:31
HL_1,07:55:57,0 days 00:04:55
H_1,07:58:57,0 days 00:07:55
AT_1,08:00:14,0 days 00:09:12
FBG_1,08:01:33,0 days 00:10:31
AIG_1,08:02:28,0 days 00:11:26
DCH_1,08:03:37,0 days 00:12:35
FEE_1,08:05:19,0 days 00:14:17
FCJ_1,08:06:48,0 days 00:15:46
EFG_1,08:09:11,0 days 00:18:09
AUC_1,08:11:29,0 days 00:20:27
DKX_1,08:13:24,0 days 00:22:22
BWE_1,08:16:29,0 days 00:25:27
Y_2,08:17:29,0 days 00:26:27
BDH_1,08:18:10,0 days 00:27:08
BPD_1,08:19:17,0 days 00:28:15
AZA_1,08:21:53,0 days 00:30:51
FDX_1,08:23:09,0 days 00:32:07
BU_2,08:23:28,0 days 00:32:26
CP_2,08:25:40,0 days 00:34:38
CBF_1,08:27:00,0 days 00:35:58
CRK_1,08:27:50,0 days 00:36:48
CSC_1,08:28:59,0 days 00:37:57
FNQ_1,08:31:25,0 days 00:40:23
AFT_1,16:02:49,0 days 01:30:48
