Stop_stn,Ride_time,sub
GY_2,07:37:18,0 days 00:00:00
BAC_1,07:40:33,0 days 00:03:15
CMV_1,07:41:47,0 days 00:04:29
CYB_1,07:43:25,0 days 00:06:07
BOJ_1,07:46:48,0 days 00:09:30
DVF_1,07:49:12,0 days 00:11:54
AJD_1,07:50:34,0 days 00:13:16
CPW_1,07:51:51,0 days 00:14:33
DOU_1,07:53:08,0 days 00:15:50
CAG_1,07:55:55,0 days 00:18:37
UC_1,07:57:01,0 days 00:19:43
AX_3,07:58:15,0 days 00:20:57
LD_2,08:00:42,0 days 00:23:24
CZY_1,08:02:33,0 days 00:25:15
UK_1,08:04:16,0 days 00:26:58
XJ_1,08:06:38,0 days 00:29:20
AQJ_1,08:09:11,0 days 00:31:53
JL_2,08:10:14,0 days 00:32:56
DST_1,08:12:02,0 days 00:34:44
DAW_1,08:14:24,0 days 00:37:06
EQH_1,08:15:39,0 days 00:38:21
DVK_1,08:16:48,0 days 00:39:30
EXR_1,08:18:25,0 days 00:41:07
CK_3,08:19:49,0 days 00:42:31
AWO_1,08:21:44,0 days 00:44:26
DAS_1,08:23:55,0 days 00:46:37
CKK_1,08:27:42,0 days 00:50:24
BED_1,08:31:39,0 days 00:54:21
CBU_1,08:34:47,0 days 00:57:29
ENW_1,08:39:14,0 days 01:01:56
CTI_1,08:44:13,0 days 01:06:55
ADI_1,08:48:37,0 days 01:11:19
NO_1,08:52:52,0 days 01:15:34
BQF_1,08:54:31,0 days 01:17:13
LG_1,08:56:09,0 days 01:18:51
COC_1,08:57:29,0 days 01:20:11
BOA_1,08:59:04,0 days 01:21:46
AF_1,08:59:50,0 days 01:22:32
AG_1,09:00:47,0 days 01:23:29
IH_1,09:01:56,0 days 01:24:38
OR_1,09:03:41,0 days 01:26:23
BBC_1,09:08:14,0 days 01:30:56
BWP_1,09:09:40,0 days 01:32:22
DXK_1,09:10:59,0 days 01:33:41
CK_1,09:12:23,0 days 01:35:05
ABL_1,09:14:58,0 days 01:37:40
EOP_1,09:18:01,0 days 01:40:43
EUA_1,09:18:35,0 days 01:41:17
OW_1,09:20:01,0 days 01:42:43
AGC_1,09:21:37,0 days 01:44:19
DMI_1,09:23:09,0 days 01:45:51
CRU_1,09:25:31,0 days 01:48:13
VO_1,09:28:18,0 days 01:51:00
DGS_1,09:31:46,0 days 01:54:28
BEV_1,09:32:57,0 days 01:55:39
CRH_1,09:34:57,0 days 01:57:39
EQW_1,09:36:19,0 days 01:59:01
EVH_1,09:38:24,0 days 02:01:06
EA_1,09:41:33,0 days 02:04:15
AVO_1,09:42:27,0 days 02:05:09
DVN_1,09:45:09,0 days 02:07:51
ME_1,09:47:36,0 days 02:10:18
AOG_1,09:48:57,0 days 02:11:39
EWV_1,13:04:01,0 days 00:15:17
DBB_1,13:38:10,0 days 00:50:24
DUZ_1,14:05:04,0 days 01:16:19
EKZ_1,14:19:33,0 days 01:31:08
ALB_1,14:26:35,0 days 01:38:07
