Stop_stn,Ride_time,sub
BAW_1,08:08:41,0 days 00:46:43
AVW_1,18:35:25,0 days 00:00:00
DT_2,18:37:44,0 days 00:02:19
BSK_1,18:39:07,0 days 00:03:42
EY_1,18:40:30,0 days 00:05:05
CVV_1,18:41:38,0 days 00:06:13
IO_1,18:41:48,0 days 00:06:23
DGC_1,18:43:58,0 days 00:08:33
E_2,18:45:14,0 days 00:09:49
AOH_1,18:47:22,0 days 00:11:57
CKL_1,18:50:34,0 days 00:15:09
PV_1,18:52:27,0 days 00:17:02
CYX_1,18:57:36,0 days 00:22:11
G_2,18:59:35,0 days 00:24:10
AB_1,19:03:24,0 days 00:27:59
ELG_1,19:04:43,0 days 00:29:18
AXM_1,19:06:07,0 days 00:30:42
ERG_1,19:08:34,0 days 00:33:09
AJO_1,19:09:27,0 days 00:34:02
DZL_1,19:10:53,0 days 00:35:28
BY_1,19:16:06,0 days 00:40:41
BWO_1,19:18:39,0 days 00:43:14
