Stop_stn,Ride_time,sub
ESD_1,07:22:57,0 days 00:00:00
EBV_1,07:25:47,0 days 00:02:50
WB_1,07:28:44,0 days 00:05:47
BET_1,07:29:33,0 days 00:06:36
KH_1,07:31:37,0 days 00:08:40
CJV_1,07:33:59,0 days 00:11:02
CNO_1,07:34:50,0 days 00:11:53
HK_2,07:36:04,0 days 00:13:07
AT_2,07:37:22,0 days 00:14:25
QI_2,07:39:34,0 days 00:16:37
CCP_1,07:41:27,0 days 00:18:30
CIO_1,07:42:33,0 days 00:19:36
CWQ_1,07:44:36,0 days 00:21:39
G_5,07:47:07,0 days 00:24:10
CT_2,07:50:34,0 days 00:27:37
HE_1,07:51:30,0 days 00:28:33
HX_2,07:52:14,0 days 00:29:17
DWW_1,07:53:21,0 days 00:30:24
DCI_1,07:54:59,0 days 00:32:02
FEG_1,07:56:22,0 days 00:33:25
EXJ_1,07:58:35,0 days 00:35:38
FBQ_1,07:59:34,0 days 00:36:37
BLW_1,08:02:19,0 days 00:39:22
DNX_1,08:03:31,0 days 00:40:34
CCS_1,08:05:30,0 days 00:42:33
BQW_1,08:08:32,0 days 00:45:35
EEQ_1,08:11:03,0 days 00:48:06
AVJ_1,08:12:02,0 days 00:49:05
DAX_1,08:13:50,0 days 00:50:53
DWM_1,08:15:00,0 days 00:52:03
PJ_1,08:15:57,0 days 00:53:00
DXH_1,08:18:21,0 days 00:55:24
DTX_1,08:19:52,0 days 00:56:55
DJ_3,08:20:53,0 days 00:57:56
GY_2,08:26:44,0 days 01:03:47
