Stop_stn,Ride_time,sub
EU_1,07:26:47,0 days 00:21:34
CXJ_1,07:46:05,0 days 00:40:04
PR_1,08:01:26,0 days 00:39:22
AHB_1,08:03:09,0 days 00:56:15
FKY_1,17:36:16,0 days 00:00:00
AEF_1,17:42:24,0 days 00:06:08
AE_2,17:43:54,0 days 00:07:38
SN_1,17:45:08,0 days 00:08:52
DMV_1,17:48:03,0 days 00:11:47
BHU_1,17:50:39,0 days 00:14:23
BOY_1,17:51:22,0 days 00:15:06
DVZ_1,17:52:47,0 days 00:16:31
EXB_1,17:53:55,0 days 00:17:39
EWF_1,17:56:07,0 days 00:19:51
DTC_1,17:58:18,0 days 00:22:02
I_1,18:01:29,0 days 00:25:13
ME_1,18:04:02,0 days 00:27:46
IU_2,18:05:38,0 days 00:29:22
BXW_1,18:08:19,0 days 00:53:06
IW_1,18:08:53,0 days 00:32:37
CXT_1,18:13:05,0 days 00:36:49
EVH_1,18:18:32,0 days 00:42:16
AWU_1,18:20:58,0 days 00:44:42
ETO_1,18:21:58,0 days 00:45:42
DEA_1,18:23:45,0 days 00:47:29
DCU_1,18:25:30,0 days 00:49:14
CGU_1,18:25:52,0 days 00:49:36
DEH_1,18:27:09,0 days 00:50:53
DLE_1,18:29:19,0 days 00:53:03
CPD_1,18:30:19,0 days 00:54:03
DPO_1,18:31:01,0 days 00:54:45
AKW_1,18:32:17,0 days 00:56:01
EQD_1,18:33:46,0 days 00:57:30
BFW_1,18:35:05,0 days 00:58:49
AAF_1,18:36:32,0 days 01:00:16
CBH_1,18:37:27,0 days 01:01:11
DFU_1,18:39:35,0 days 01:03:19
EUD_1,18:40:29,0 days 01:04:13
CAE_1,18:41:26,0 days 01:05:10
ARD_1,18:43:06,0 days 01:06:50
CC_1,18:45:18,0 days 01:09:02
CVR_1,18:46:56,0 days 01:10:40
IU_1,18:50:43,0 days 01:14:27
CSH_1,18:53:58,0 days 01:17:42
AGV_1,18:54:40,0 days 01:18:24
TC_1,18:56:46,0 days 01:20:30
BBT_1,19:00:30,0 days 01:24:14
AMC_1,19:02:21,0 days 01:26:05
BNB_1,19:03:30,0 days 01:27:14
DHP_1,19:04:34,0 days 01:28:18
EHV_1,19:05:59,0 days 01:29:43
EWJ_1,19:07:19,0 days 01:31:03
COM_1,19:10:06,0 days 01:33:50
YZ_1,19:11:17,0 days 01:35:01
BG_2,19:14:06,0 days 01:37:50
AUG_1,19:15:02,0 days 01:38:46
