Stop_stn,Ride_time,sub
KI_1,18:38:43,0 days 00:00:00
CKE_1,18:42:06,0 days 00:03:23
FJ_2,18:42:31,0 days 00:03:48
H_4,18:44:41,0 days 00:05:58
DRY_1,18:45:41,0 days 00:06:58
P_3,18:46:52,0 days 00:08:09
CPG_1,18:49:03,0 days 00:10:20
CXY_1,18:50:38,0 days 00:11:55
AAY_1,18:51:51,0 days 00:13:08
BZN_1,18:54:13,0 days 00:15:30
BLP_1,18:55:33,0 days 00:16:50
BXQ_1,18:56:57,0 days 00:18:14
DKO_1,18:57:40,0 days 00:18:57
CEF_1,18:59:53,0 days 00:21:10
WH_1,19:01:43,0 days 00:23:00
OB_1,19:03:54,0 days 00:25:11
DZZ_1,19:06:42,0 days 00:27:59
EQK_1,19:08:37,0 days 00:29:54
ARL_1,19:27:28,0 days 00:48:45
HO_1,19:31:25,0 days 00:52:42
EEC_1,19:35:12,0 days 00:56:29
ET_2,19:39:49,0 days 01:01:06
