Stop_stn,Ride_time,sub
EDE_1,19:01:07,0 days 00:00:00
BVE_1,19:05:19,0 days 00:04:12
DGF_1,19:07:29,0 days 00:06:22
HN_2,19:08:54,0 days 00:07:47
JA_2,19:10:51,0 days 00:09:44
BJY_1,19:12:37,0 days 00:11:30
QD_2,19:15:43,0 days 00:14:36
BM_2,19:17:35,0 days 00:16:28
CID_1,19:19:23,0 days 00:18:16
BVH_1,19:20:46,0 days 00:19:39
EPL_1,19:24:05,0 days 00:22:58
EH_2,19:26:00,0 days 00:24:53
KK_2,19:26:55,0 days 00:25:48
KA_2,19:28:59,0 days 00:27:52
DWG_1,19:29:21,0 days 00:28:14
DIQ_1,19:32:08,0 days 00:31:01
WH_1,19:38:00,0 days 00:36:53
CJJ_1,19:40:28,0 days 00:39:21
LY_2,19:43:33,0 days 00:42:26
DNO_1,19:45:32,0 days 00:44:25
EQK_1,19:47:17,0 days 00:46:10
DQW_1,19:49:59,0 days 00:48:52
BPX_1,19:52:58,0 days 00:51:51
ACR_1,19:54:33,0 days 00:53:26
DEZ_1,19:56:43,0 days 00:55:36
J_4,19:58:56,0 days 00:57:49
BPW_1,20:00:23,0 days 00:59:16
EUU_1,20:01:16,0 days 01:00:09
CWL_1,20:02:42,0 days 01:01:35
HG_2,20:04:12,0 days 01:03:05
