Stop_stn,Ride_time,sub
AWZ_1,07:57:40,0 days 00:37:41
EDE_1,14:31:35,0 days 00:00:00
EJR_1,14:34:44,0 days 00:03:09
OC_1,14:36:06,0 days 00:04:31
FAT_1,14:37:36,0 days 00:06:01
FOG_1,14:39:11,0 days 00:07:36
KA_2,14:40:31,0 days 00:08:56
DWG_1,14:42:26,0 days 00:10:51
DJA_1,14:45:19,0 days 00:13:44
HY_1,14:46:52,0 days 00:15:17
EZX_1,14:49:38,0 days 00:18:03
BEG_1,14:50:29,0 days 00:18:54
AOY_1,14:51:17,0 days 00:19:42
BGF_1,14:53:22,0 days 00:21:47
BLB_1,14:55:05,0 days 00:23:30
DY_2,14:56:43,0 days 00:25:08
BUI_1,14:58:17,0 days 00:26:42
EIO_1,14:59:49,0 days 00:28:14
EKP_1,15:00:35,0 days 00:29:00
OO_2,15:02:05,0 days 00:30:30
BQK_1,15:04:08,0 days 00:32:33
AUJ_1,15:05:16,0 days 00:33:41
FD_2,15:08:33,0 days 00:36:58
AD_3,15:10:11,0 days 00:38:36
KA_1,15:12:09,0 days 00:40:34
EG_2,15:14:01,0 days 00:42:26
OO_1,15:15:37,0 days 00:44:02
BC_2,15:16:12,0 days 00:44:37
DZC_1,15:16:52,0 days 00:45:17
EOB_1,15:18:31,0 days 00:46:56
AGB_1,15:19:50,0 days 00:48:15
CWE_1,15:22:21,0 days 00:50:46
BFO_1,15:24:14,0 days 00:52:39
BZN_1,15:26:05,0 days 00:54:30
BLP_1,15:27:32,0 days 00:55:57
EYJ_1,15:28:21,0 days 00:56:46
HY_2,15:29:50,0 days 00:58:15
CZP_1,15:31:29,0 days 00:59:54
WH_1,15:34:28,0 days 01:02:53
FOH_1,15:36:43,0 days 01:05:08
L_2,15:38:11,0 days 01:06:36
OC_2,15:39:02,0 days 01:07:27
FBH_1,15:40:37,0 days 01:09:02
CFR_1,17:55:54,0 days 00:36:34
CGI_1,18:10:24,0 days 00:50:16
CJJ_1,18:37:34,0 days 01:17:56
