Stop_stn,Ride_time,sub
BUSPARK,07:33:17,0 days 01:33:09
EVQ_1,15:56:45,0 days 00:29:31
EV_2,16:23:38,0 days 00:00:00
CH_2,16:26:04,0 days 00:02:26
DDP_1,16:28:10,0 days 00:04:32
BBR_1,16:29:59,0 days 00:06:21
FL_2,16:31:05,0 days 00:07:27
EE_2,16:32:12,0 days 00:08:34
FN_2,16:34:05,0 days 00:10:27
Q_4,16:35:47,0 days 00:12:09
V_4,16:36:48,0 days 00:13:10
B_2,16:37:48,0 days 00:14:10
B_3,16:39:56,0 days 00:16:18
CSN_1,16:41:02,0 days 00:17:24
D_3,16:43:01,0 days 00:19:23
MH_2,16:44:01,0 days 00:20:23
UZ_1,16:45:35,0 days 00:21:57
DOT_1,16:47:59,0 days 00:24:21
ANU_1,16:50:58,0 days 00:27:20
EHP_1,16:52:15,0 days 00:28:37
DSW_1,16:54:13,0 days 00:30:35
KZ_2,16:56:35,0 days 00:32:57
ID_2,16:59:11,0 days 00:35:33
ENH_1,17:01:05,0 days 00:37:27
CYK_1,17:02:44,0 days 00:39:06
CGW_1,17:04:46,0 days 00:41:08
DKE_1,17:06:42,0 days 00:43:04
DUK_1,17:08:02,0 days 00:44:24
KO_2,17:09:42,0 days 00:46:04
JE_2,17:10:40,0 days 00:47:02
XW_1,17:12:59,0 days 00:49:21
CWP_1,17:14:42,0 days 00:51:04
DMN_1,17:16:39,0 days 00:53:01
DRE_1,17:18:58,0 days 00:55:20
EPT_1,17:20:06,0 days 00:56:28
ABB_1,17:21:25,0 days 00:57:47
EKU_1,17:22:45,0 days 00:59:07
AAR_1,17:24:08,0 days 01:00:30
EXQ_1,17:25:12,0 days 01:01:34
ATW_1,17:26:43,0 days 01:03:05
AHP_1,17:28:03,0 days 01:04:25
FCL_1,17:29:05,0 days 01:05:27
AKX_1,17:52:19,0 days 01:28:41
