Stop_stn,Ride_time,sub
BMU_1,07:21:14,0 days 00:49:36
DIQ_1,18:43:26,0 days 00:00:00
AQW_1,18:46:10,0 days 00:02:44
BKZ_1,18:47:08,0 days 00:03:42
UJ_1,18:48:35,0 days 00:05:09
AON_1,18:50:31,0 days 00:07:05
DYA_1,18:52:46,0 days 00:09:20
AFG_1,18:54:14,0 days 00:10:48
JY_2,18:56:54,0 days 00:13:28
BGR_1,18:59:59,0 days 00:16:33
ELX_1,19:01:53,0 days 00:18:27
AIM_1,19:03:55,0 days 00:20:29
DFC_1,19:06:21,0 days 00:22:55
CT_2,19:07:12,0 days 00:23:46
HE_1,19:07:57,0 days 00:24:31
HX_2,19:09:19,0 days 00:25:53
DWW_1,19:10:05,0 days 00:26:39
DCI_1,19:11:49,0 days 00:28:23
FEG_1,19:12:51,0 days 00:29:25
EXJ_1,19:13:33,0 days 00:30:07
FBQ_1,19:15:07,0 days 00:31:41
BLW_1,19:16:33,0 days 00:33:07
DNX_1,19:17:58,0 days 00:34:32
CGC_1,19:20:56,0 days 00:37:30
CZH_1,19:23:22,0 days 00:39:56
DFW_1,19:24:59,0 days 00:41:33
COQ_1,19:25:45,0 days 00:42:19
BNR_1,19:27:39,0 days 00:44:13
CN_3,19:31:17,0 days 00:47:51
DSE_1,19:34:33,0 days 00:51:07
GY_2,19:37:16,0 days 00:53:50
