Stop_stn,Ride_time,sub
AFL_1,08:38:41,0 days 01:32:51
BIY_1,17:39:31,0 days 00:53:32
KY_2,18:24:19,0 days 00:00:00
BUK_1,18:30:02,0 days 00:05:43
CME_1,18:32:48,0 days 00:08:29
CEA_1,18:34:47,0 days 00:10:28
EJK_1,18:35:56,0 days 00:11:37
BSP_1,18:37:02,0 days 00:12:43
ATO_1,18:38:28,0 days 00:14:09
BCG_1,18:40:25,0 days 00:16:06
DET_1,18:42:46,0 days 00:18:27
EJW_1,18:44:04,0 days 00:19:45
CTT_1,18:47:47,0 days 00:23:28
BEM_1,18:49:19,0 days 00:25:00
FCD_1,18:50:15,0 days 00:25:56
TP_1,18:50:47,0 days 00:26:28
EZI_1,18:53:39,0 days 00:29:20
X_1,18:55:57,0 days 00:31:38
AKY_1,18:58:10,0 days 00:33:51
BLL_1,19:00:00,0 days 00:35:41
VD_1,19:00:40,0 days 00:36:21
ASL_1,19:02:17,0 days 00:37:58
CFP_1,19:04:13,0 days 00:39:54
DEX_1,19:05:23,0 days 00:41:04
ARC_1,19:06:52,0 days 00:42:33
EC_2,19:08:05,0 days 00:43:46
AIO_1,19:10:34,0 days 00:46:15
COP_1,19:13:17,0 days 00:48:58
APV_1,19:14:54,0 days 00:50:35
EMH_1,19:17:54,0 days 00:53:35
DNC_1,19:18:51,0 days 00:54:32
ECO_1,19:19:58,0 days 00:55:39
BEH_1,19:20:32,0 days 00:56:13
BWO_1,19:23:02,0 days 00:58:43
DT_1,19:26:09,0 days 01:01:50
DPD_1,19:28:20,0 days 01:04:01
BLE_1,19:30:58,0 days 01:06:39
AN_2,19:33:27,0 days 01:09:08
ATI_1,19:34:50,0 days 01:10:31
DSR_1,19:36:40,0 days 01:12:21
AUM_1,19:38:23,0 days 01:14:04
AJK_1,19:40:15,0 days 01:15:56
AEJ_1,19:41:20,0 days 01:17:01
ASR_1,19:42:47,0 days 01:18:28
DDT_1,19:43:41,0 days 01:19:22
DHR_1,19:44:38,0 days 01:20:19
ATE_1,19:46:12,0 days 01:21:53
CBQ_1,19:47:01,0 days 01:22:42
AJL_1,19:49:22,0 days 01:25:03
HW_1,19:49:58,0 days 01:25:39
DN_1,19:51:14,0 days 01:26:55
OW_1,19:54:10,0 days 01:29:51
AGC_1,19:55:16,0 days 01:30:57
DZT_1,19:57:24,0 days 01:33:05
