Stop_stn,Ride_time,sub
AQE_1,06:47:26,0 days 00:18:02
DFO_1,07:03:43,0 days 00:23:06
FCI_1,07:18:37,0 days 00:00:00
BQR_1,07:24:24,0 days 00:05:47
BVC_1,07:24:27,0 days 00:05:50
DGI_1,07:26:30,0 days 01:00:36
EFC_1,07:29:06,0 days 00:58:19
CAI_1,07:30:05,0 days 00:49:48
AOA_1,07:32:49,0 days 00:14:12
DQS_1,07:35:50,0 days 00:17:13
AQN_1,07:37:08,0 days 00:58:44
ETP_1,07:37:19,0 days 00:18:42
CZL_1,07:38:34,0 days 00:19:57
EMU_1,07:39:45,0 days 00:21:08
COK_1,07:41:13,0 days 00:22:36
WU_1,07:41:45,0 days 01:13:57
AHH_1,07:42:21,0 days 01:03:44
AXQ_1,07:42:57,0 days 00:24:20
HQ_1,07:43:49,0 days 00:25:12
DSH_1,07:44:44,0 days 00:26:07
CTW_1,07:45:44,0 days 00:27:07
FC_1,07:46:41,0 days 00:28:04
BOM_1,07:47:22,0 days 00:28:45
AZN_1,07:49:50,0 days 01:11:47
JN_1,07:49:50,0 days 00:31:13
CBI_1,07:51:26,0 days 00:32:49
BKM_1,07:52:12,0 days 01:10:27
CCG_1,07:52:25,0 days 00:33:48
PX_2,07:54:14,0 days 00:35:37
ECQ_1,07:55:02,0 days 00:36:25
BXB_1,07:56:15,0 days 00:37:38
DCR_1,07:57:57,0 days 00:39:20
BGS_1,07:58:42,0 days 00:40:05
ABY_1,08:00:09,0 days 00:41:32
CFK_1,08:01:41,0 days 00:43:04
BHF_1,08:02:25,0 days 00:43:48
QO_1,08:02:54,0 days 00:44:17
OQ_2,08:03:47,0 days 00:45:10
OQ_1,08:04:34,0 days 00:45:57
EKJ_1,08:05:16,0 days 00:46:39
END_1,08:05:57,0 days 00:47:20
PD_2,08:06:33,0 days 00:47:56
AUW_1,08:07:34,0 days 00:48:57
ZY_1,08:08:56,0 days 00:50:19
AIJ_1,08:09:56,0 days 00:51:19
NJ_1,08:10:48,0 days 01:02:29
DOV_1,08:10:57,0 days 00:52:20
CJB_1,08:12:21,0 days 00:53:44
PX_1,08:13:41,0 days 00:55:04
JN_2,08:14:24,0 days 00:55:47
FT_1,08:18:04,0 days 00:59:27
BTR_1,08:23:25,0 days 01:04:48
CXK_1,08:37:49,0 days 01:06:03
CHG_1,14:18:59,0 days 00:56:16
BOP_1,15:57:20,0 days 01:06:06
