Stop_stn,Ride_time,sub
EV_2,17:07:06,0 days 00:00:00
HD_1,17:14:25,0 days 00:07:19
DC_3,17:15:14,0 days 00:08:08
AH_2,17:17:12,0 days 00:10:06
NK_2,17:18:01,0 days 00:10:55
AJH_1,17:19:26,0 days 00:12:20
DXU_1,17:20:46,0 days 00:13:40
DBG_1,17:21:40,0 days 00:14:34
MU_1,17:22:40,0 days 00:15:34
DCM_1,17:23:42,0 days 00:16:36
CBO_1,17:25:48,0 days 00:18:42
ATX_1,17:27:19,0 days 00:20:13
EIG_1,17:30:13,0 days 00:23:07
EEB_1,17:31:23,0 days 00:24:17
CXB_1,17:33:19,0 days 00:26:13
BLC_1,17:36:29,0 days 00:29:23
BPM_1,17:38:04,0 days 00:30:58
DII_1,17:39:19,0 days 00:32:13
CBJ_1,17:40:10,0 days 00:33:04
QX_1,17:43:02,0 days 00:35:56
SP_1,17:44:33,0 days 00:37:27
CJA_1,17:46:03,0 days 00:38:57
DJO_1,17:47:40,0 days 00:40:34
UT_1,17:50:32,0 days 00:43:26
DKV_1,17:52:19,0 days 00:45:13
YU_1,17:54:08,0 days 00:47:02
BDR_1,17:54:26,0 days 00:47:20
AHL_1,17:56:04,0 days 00:48:58
CZC_1,17:58:42,0 days 00:51:36
BLO_1,18:00:44,0 days 00:53:38
BYT_1,18:02:04,0 days 00:54:58
AGM_1,18:04:13,0 days 00:57:07
FQ_2,18:05:05,0 days 00:57:59
ET_2,18:09:06,0 days 01:02:00
COR_1,19:03:34,0 days 00:22:10
DPZ_1,21:08:48,0 days 00:40:38
