Stop_stn,Ride_time,sub
VL_1,07:51:19,0 days 00:00:00
KU_1,07:51:21,0 days 00:00:02
EAR_1,07:55:10,0 days 00:03:51
DTB_1,07:57:19,0 days 00:06:00
PT_2,07:59:40,0 days 00:08:21
BGG_1,08:00:51,0 days 00:09:32
WM_1,08:02:42,0 days 00:11:23
EBD_1,08:04:11,0 days 00:12:52
LQ_2,08:43:37,0 days 00:52:18
ADC_1,08:47:53,0 days 00:56:34
BEW_1,08:49:19,0 days 00:58:00
IP_2,08:51:18,0 days 00:59:59
CBU_1,08:53:32,0 days 01:02:13
ENW_1,08:57:37,0 days 01:06:18
CTI_1,09:01:04,0 days 01:09:45
DBB_1,09:05:57,0 days 01:14:38
ADI_1,09:08:24,0 days 01:17:05
