Stop_stn,Ride_time,sub
BRG_1,18:16:16,0 days 00:00:00
JM_2,18:20:18,0 days 00:04:02
NT_1,18:21:25,0 days 00:05:09
FEA_1,18:23:31,0 days 00:07:15
CRW_1,18:26:07,0 days 00:09:51
AEC_1,18:27:57,0 days 00:11:41
XI_1,18:29:39,0 days 00:13:23
FNT_1,18:31:05,0 days 00:14:49
FNR_1,18:32:04,0 days 00:15:48
FNS_1,18:32:59,0 days 00:16:43
FNV_1,18:34:22,0 days 00:18:06
AIL_1,18:35:14,0 days 00:18:58
EBK_1,18:37:13,0 days 00:20:57
BNX_1,18:38:10,0 days 00:21:54
SA_1,18:40:13,0 days 00:23:57
AQ_1,18:41:02,0 days 00:24:46
