Stop_stn,Ride_time,sub
ET_1,17:36:14,0 days 00:00:00
CAR_1,17:42:15,0 days 00:06:01
BRR_1,17:44:14,0 days 00:08:00
CGX_1,17:47:24,0 days 00:11:10
EQC_1,17:48:34,0 days 00:12:20
EUH_1,17:50:23,0 days 00:14:09
EJQ_1,17:51:33,0 days 00:15:19
LR_1,17:53:38,0 days 00:17:24
MD_2,17:55:03,0 days 00:18:49
CAO_1,17:57:20,0 days 00:21:06
CG_2,17:58:17,0 days 00:22:03
BZM_1,17:59:33,0 days 00:23:19
VF_1,18:01:06,0 days 00:24:52
HO_1,18:02:43,0 days 00:26:29
APH_1,18:06:26,0 days 00:30:12
ET_2,18:11:21,0 days 00:35:07
