Stop_stn,Ride_time,sub
EWH_1,12:48:39,0 days 00:28:01
GF_1,12:55:54,0 days 00:34:31
BES_1,14:31:25,0 days 00:40:47
FKY_1,15:37:12,0 days 00:00:00
FKZ_1,15:42:28,0 days 00:05:16
AE_2,15:44:41,0 days 00:07:29
Y_1,15:47:35,0 days 00:10:23
BH_1,15:49:09,0 days 00:11:57
GB_2,15:51:46,0 days 00:14:34
AU_1,15:53:03,0 days 00:15:51
EFQ_1,15:54:14,0 days 00:17:02
TI_1,15:56:27,0 days 00:19:15
ASZ_1,15:58:14,0 days 00:21:02
HS_1,16:00:08,0 days 00:22:56
IK_1,16:01:11,0 days 00:23:59
BUN_1,16:02:48,0 days 00:25:36
UV_1,16:04:48,0 days 00:27:36
EGQ_1,16:07:50,0 days 00:30:38
FKE_1,16:09:31,0 days 00:32:19
AHU_1,16:10:55,0 days 00:33:43
S_1,16:12:43,0 days 00:35:31
HA_1,16:14:56,0 days 00:37:44
ESO_1,16:15:16,0 days 00:38:04
UP_1,16:17:13,0 days 00:40:01
DWF_1,16:19:52,0 days 00:42:40
ECW_1,16:23:14,0 days 00:46:02
DB_2,16:25:35,0 days 00:48:23
PZ_1,16:26:22,0 days 00:49:10
IS_1,16:27:52,0 days 00:50:40
AJE_1,16:29:03,0 days 00:51:51
CIF_1,16:30:06,0 days 00:52:54
GS_1,16:31:05,0 days 00:53:53
ADM_1,16:33:25,0 days 00:56:13
EMF_1,16:36:10,0 days 00:58:58
CD_1,16:38:09,0 days 01:00:57
JT_1,16:40:16,0 days 01:03:04
CIK_1,16:42:07,0 days 01:04:55
BL_1,16:43:21,0 days 01:06:09
IX_1,16:44:53,0 days 01:07:41
EOA_1,16:46:52,0 days 01:09:40
DU_1,16:49:00,0 days 01:11:48
XF_1,16:51:12,0 days 01:14:00
BJN_1,16:52:31,0 days 01:15:19
CS_1,16:53:50,0 days 01:16:38
BG_2,16:56:11,0 days 01:18:59
AUG_1,16:58:09,0 days 01:20:57
