Stop_stn,Ride_time,sub
FX_2,09:46:19,0 days 00:00:00
ESR_1,09:51:01,0 days 00:04:42
BYL_1,09:52:36,0 days 00:06:17
FBC_1,09:54:00,0 days 00:07:41
BNM_1,09:56:13,0 days 00:09:54
BEO_1,09:58:11,0 days 00:11:52
AZQ_1,10:00:42,0 days 00:14:23
BXM_1,10:01:41,0 days 00:15:22
BBF_1,10:02:36,0 days 00:16:17
ZF_1,10:06:26,0 days 00:20:07
ALK_1,10:07:14,0 days 00:20:55
BRJ_1,10:08:30,0 days 00:22:11
E_5,10:11:35,0 days 00:25:16
IF_2,10:12:28,0 days 00:26:09
RR_1,10:14:52,0 days 00:28:33
GY_2,10:16:45,0 days 00:30:26
EHT_1,10:22:50,0 days 00:36:31
PP_2,10:23:39,0 days 00:37:20
BU_3,10:25:50,0 days 00:39:31
AMW_1,10:27:25,0 days 00:41:06
AXW_1,10:28:25,0 days 00:42:06
TM_1,10:29:20,0 days 00:43:01
ABP_1,10:30:53,0 days 00:44:34
BWN_1,10:31:49,0 days 00:45:30
EOM_1,10:33:07,0 days 00:46:48
DWA_1,10:34:35,0 days 00:48:16
ANZ_1,10:36:32,0 days 00:50:13
HH_2,10:38:49,0 days 00:52:30
BXO_1,10:40:49,0 days 00:54:30
DPM_1,10:44:20,0 days 00:58:01
