Stop_stn,Ride_time,sub
KT_2,06:08:13,0 days 00:05:02
ND_2,06:09:29,0 days 00:02:32
CZD_1,06:20:36,0 days 00:18:25
CLL_1,06:21:30,0 days 00:13:11
BGO_1,06:40:23,0 days 00:36:19
DXQ_1,14:39:48,0 days 00:19:58
BGQ_1,15:15:10,0 days 00:22:30
KY_2,17:27:14,0 days 00:00:00
BKX_1,17:28:33,0 days 00:01:19
KG_1,17:39:49,0 days 00:12:35
CUX_1,17:41:15,0 days 00:14:01
TV_1,17:42:26,0 days 00:15:12
ZZ_1,17:43:53,0 days 00:16:39
AVH_1,17:45:32,0 days 00:18:18
FKF_1,17:47:01,0 days 00:19:47
AFV_1,17:48:52,0 days 00:21:38
BEB_1,17:51:38,0 days 00:24:24
FLB_1,17:54:53,0 days 00:27:39
BRQ_1,17:55:16,0 days 00:28:02
DDO_1,17:56:23,0 days 00:29:09
DIL_1,17:57:17,0 days 00:30:03
BMP_1,17:58:22,0 days 00:31:08
AVG_1,18:00:37,0 days 00:33:23
DBK_1,18:01:54,0 days 00:34:40
ASB_1,18:02:35,0 days 00:35:21
DTJ_1,18:03:12,0 days 00:35:58
AWF_1,18:04:39,0 days 00:37:25
DGV_1,18:06:02,0 days 00:38:48
HB_1,18:08:06,0 days 00:40:52
DGZ_1,18:10:12,0 days 00:42:58
AB_2,18:13:13,0 days 00:45:59
CXA_1,18:15:10,0 days 00:47:56
EPJ_1,18:16:06,0 days 00:48:52
BIW_1,18:17:35,0 days 00:50:21
CKT_1,18:20:47,0 days 00:53:33
BTG_1,18:24:02,0 days 00:56:48
BH_2,18:25:18,0 days 00:58:04
NE_1,18:27:35,0 days 01:00:21
DGD_1,18:29:04,0 days 01:01:50
AF_2,18:30:35,0 days 01:03:21
YT_1,18:31:32,0 days 01:04:18
DS_1,18:32:46,0 days 01:05:32
EH_1,18:33:43,0 days 01:06:29
GB_2,18:36:53,0 days 01:09:39
AU_1,18:38:09,0 days 01:10:55
EFQ_1,18:39:38,0 days 01:12:24
TI_1,18:41:19,0 days 01:14:05
ASZ_1,18:43:25,0 days 01:16:11
HS_1,18:44:58,0 days 01:17:44
P_1,18:45:48,0 days 01:18:34
CIE_1,18:47:47,0 days 01:20:33
AKN_1,18:48:31,0 days 00:15:41
F_1,18:51:29,0 days 01:24:15
EPR_1,18:52:48,0 days 01:25:34
AQP_1,18:54:24,0 days 01:27:10
BDO_1,18:56:51,0 days 01:29:37
COZ_1,19:02:09,0 days 01:34:55
CQU_1,19:06:39,0 days 00:33:56
