Stop_stn,Ride_time,sub
JB_1,07:28:02,0 days 00:00:00
ATK_1,07:30:35,0 days 00:02:33
BYQ_1,07:32:26,0 days 00:04:24
BXK_1,07:34:24,0 days 00:06:22
EVJ_1,07:35:33,0 days 00:07:31
EYC_1,07:36:31,0 days 00:08:29
ABB_1,07:38:32,0 days 00:10:30
EKU_1,07:40:16,0 days 00:12:14
LQ_2,08:07:18,0 days 00:39:16
ADC_1,08:09:54,0 days 00:41:52
BEW_1,08:12:25,0 days 00:44:23
IP_2,08:14:12,0 days 00:46:10
CBU_1,08:17:15,0 days 00:49:13
ENW_1,08:19:23,0 days 00:51:21
CTI_1,08:22:25,0 days 00:54:23
DBB_1,08:26:06,0 days 00:58:04
ADI_1,08:28:59,0 days 01:00:57
