Stop_stn,Ride_time,sub
EEA_1,07:42:15,0 days 00:00:00
DXE_1,07:46:59,0 days 00:04:44
AZS_1,07:48:03,0 days 00:05:48
DGR_1,07:49:13,0 days 00:06:58
EXN_1,07:52:04,0 days 00:09:49
AGU_1,07:52:54,0 days 00:10:39
ADH_1,07:54:56,0 days 00:12:41
CCF_1,07:56:02,0 days 00:13:47
SQ_1,07:57:25,0 days 00:15:10
DFL_1,07:58:17,0 days 00:16:02
APE_1,07:59:38,0 days 00:17:23
CST_1,08:01:41,0 days 00:19:26
COG_1,08:03:48,0 days 00:21:33
FLB_1,08:05:00,0 days 00:22:45
DDO_1,08:06:28,0 days 00:24:13
BMP_1,08:07:58,0 days 00:25:43
MN_2,08:08:51,0 days 00:11:44
AVG_1,08:09:51,0 days 00:27:36
CQU_1,08:10:54,0 days 00:28:39
ASB_1,08:11:55,0 days 00:29:40
DTJ_1,08:13:19,0 days 00:31:04
AWF_1,08:14:48,0 days 00:32:33
DGV_1,08:16:17,0 days 00:34:02
HB_1,08:19:09,0 days 00:36:54
JG_1,08:21:32,0 days 00:39:17
DYV_1,08:22:35,0 days 00:40:20
CCZ_1,08:23:47,0 days 00:41:32
CDS_1,08:24:38,0 days 00:42:23
CHU_1,08:26:02,0 days 00:43:47
BRQ_1,08:26:27,0 days 00:28:03
DGE_1,08:28:03,0 days 00:45:48
DSA_1,08:31:22,0 days 00:49:07
BGH_1,08:31:48,0 days 00:49:33
EJL_1,08:32:48,0 days 00:50:33
AVZ_1,08:36:22,0 days 00:54:07
EB_1,08:37:36,0 days 00:55:21
BII_1,08:39:41,0 days 00:57:26
AHR_1,08:40:24,0 days 00:58:09
ERE_1,08:42:49,0 days 01:00:34
EPB_1,08:43:42,0 days 01:01:27
BBW_1,08:45:10,0 days 01:02:55
EUW_1,08:46:50,0 days 00:49:03
AFK_1,08:46:52,0 days 01:04:37
BDV_1,08:48:56,0 days 01:06:41
CZV_1,08:49:24,0 days 01:07:09
DSM_1,08:52:13,0 days 01:09:58
UA_1,08:53:10,0 days 01:10:55
EUZ_1,08:53:51,0 days 01:11:36
ALL_1,08:57:07,0 days 01:14:52
FNP_1,08:57:42,0 days 00:59:48
BVD_1,09:06:10,0 days 01:07:54
DBK_1,17:01:50,0 days 00:39:41
DBM_1,18:05:54,0 days 00:27:28
CBL_1,18:36:17,0 days 00:57:22
FCN_1,18:36:55,0 days 00:56:42
DIL_1,18:46:57,0 days 00:30:04
DQV_1,18:55:20,0 days 01:18:39
CXW_1,19:00:37,0 days 01:21:48
FK_1,19:18:19,0 days 01:02:04
QB_1,19:25:57,0 days 01:09:27
ADK_1,19:31:28,0 days 01:15:37
DLD_1,22:01:39,0 days 00:43:41
