Stop_stn,Ride_time,sub
DVF_1,07:55:54,0 days 00:00:00
AJD_1,07:56:57,0 days 00:01:03
DOU_1,07:59:15,0 days 00:03:21
EWV_1,08:00:27,0 days 00:04:33
UC_1,08:02:03,0 days 00:06:09
AX_3,08:03:40,0 days 00:07:46
LD_2,08:05:13,0 days 00:09:19
CZY_1,08:06:58,0 days 00:11:04
UK_1,08:09:22,0 days 00:13:28
XJ_1,08:10:42,0 days 00:14:48
AQJ_1,08:12:22,0 days 00:16:28
CPW_1,08:22:12,0 days 00:03:40
CBU_1,08:26:04,0 days 00:30:10
CAG_1,08:26:33,0 days 00:07:33
ENW_1,08:28:44,0 days 00:32:50
CTI_1,08:32:50,0 days 00:36:56
DBB_1,08:35:32,0 days 00:39:38
ADI_1,08:38:58,0 days 00:43:04
