Stop_stn,Ride_time,sub
FH_1,06:31:32,0 days 00:00:00
CSC_1,06:34:35,0 days 00:03:03
DZ_1,06:36:22,0 days 00:04:50
DUP_1,06:38:04,0 days 00:06:32
DZX_1,06:40:02,0 days 00:08:30
FAC_1,06:40:47,0 days 00:09:15
FKB_1,06:41:25,0 days 00:09:53
LS_2,06:44:25,0 days 00:12:53
AFF_1,06:45:28,0 days 00:13:56
JJ_1,06:46:59,0 days 00:15:27
BHW_1,06:48:33,0 days 00:17:01
ANN_1,06:49:17,0 days 00:17:45
KJ_1,06:51:18,0 days 00:19:46
GU_1,06:52:38,0 days 00:21:06
LI_1,06:53:21,0 days 00:21:49
NE_1,06:57:40,0 days 00:26:08
DGD_1,07:00:37,0 days 00:29:05
EP_1,07:01:55,0 days 00:30:23
E_3,07:03:55,0 days 00:32:23
HG_1,07:06:39,0 days 00:35:07
KP_1,07:07:30,0 days 00:35:58
BG_2,07:10:24,0 days 00:38:52
AUG_1,07:11:29,0 days 00:39:57
EMQ_1,07:13:05,0 days 00:41:33
EWA_1,07:14:40,0 days 00:43:08
AZD_1,07:16:26,0 days 00:07:14
BKB_1,07:18:28,0 days 00:46:56
EVB_1,07:20:16,0 days 00:48:44
CK_2,07:22:26,0 days 00:50:54
EWR_1,07:23:45,0 days 00:52:13
CBK_1,07:25:34,0 days 00:54:02
BN_2,07:27:16,0 days 00:55:44
AOV_1,07:28:05,0 days 00:56:33
ARY_1,07:30:02,0 days 00:58:30
FBK_1,07:32:46,0 days 01:01:14
BJ_1,07:33:47,0 days 01:02:15
JV_1,07:35:13,0 days 01:03:41
FKD_1,07:38:13,0 days 01:06:41
CTK_1,07:39:03,0 days 01:07:31
KE_2,07:39:51,0 days 01:08:19
DCE_1,07:41:19,0 days 01:09:47
DCG_1,07:42:32,0 days 01:11:00
EGV_1,07:43:59,0 days 01:12:27
RX_1,07:45:48,0 days 01:14:16
CSI_1,07:46:24,0 days 01:14:52
ERN_1,07:47:28,0 days 01:15:56
COV_1,07:48:34,0 days 01:17:02
ATN_1,07:49:17,0 days 01:17:45
YC_1,07:50:17,0 days 01:18:45
CUD_1,07:52:23,0 days 01:20:51
AZZ_1,07:53:31,0 days 01:21:59
IV_2,07:54:02,0 days 01:22:30
AN_2,07:55:24,0 days 01:23:52
ATI_1,07:56:57,0 days 01:25:25
DSR_1,07:58:07,0 days 01:26:35
AUM_1,07:59:23,0 days 01:27:51
DKY_1,07:59:42,0 days 01:13:26
CRG_1,08:00:59,0 days 01:29:27
CWZ_1,08:52:54,0 days 01:17:24
