Stop_stn,Ride_time,sub
GY_2,18:16:04,0 days 00:00:00
PM_1,18:20:50,0 days 00:04:46
DRW_1,18:23:22,0 days 00:07:18
CPX_1,18:24:47,0 days 00:08:43
DWI_1,18:26:07,0 days 00:10:03
GR_1,18:28:12,0 days 00:12:08
ESF_1,18:29:59,0 days 00:13:55
AHT_1,18:30:49,0 days 00:14:45
AEV_1,18:31:32,0 days 00:15:28
EKC_1,18:34:00,0 days 00:17:56
DJS_1,18:36:27,0 days 00:20:23
DEW_1,18:39:43,0 days 00:23:39
LL_2,18:41:38,0 days 00:25:34
BW_3,18:44:33,0 days 00:28:29
D_6,18:46:26,0 days 00:30:22
BFB_1,18:48:33,0 days 00:32:29
DBI_1,18:51:58,0 days 00:35:54
GZ_1,18:56:09,0 days 00:40:05
DXY_1,18:58:21,0 days 00:42:17
DOD_1,18:59:43,0 days 00:43:39
