Stop_stn,Ride_time,sub
KY_2,23:03:24,0 days 00:00:00
BKX_1,23:06:37,0 days 00:03:13
AEH_1,23:07:27,0 days 00:04:03
KG_1,23:09:57,0 days 00:06:33
FMA_1,23:11:15,0 days 00:07:51
ATJ_1,23:16:11,0 days 00:12:47
AFT UPP S'GOON RD,23:17:08,0 days 00:13:44
FOS_1,23:18:30,0 days 00:15:06
CIB_1,23:19:27,0 days 00:16:03
CDP_1,23:20:23,0 days 00:16:59
FY_2,23:23:13,0 days 00:19:49
ND_2,23:23:48,0 days 00:09:00
AUV_1,23:24:02,0 days 00:20:38
BYR_1,23:24:58,0 days 00:21:34
BVA_1,23:27:33,0 days 00:24:09
BND_1,23:29:15,0 days 00:13:21
WS_1,23:41:37,0 days 00:24:50
BP_2,23:47:06,0 days 00:34:28
QU_1,23:48:32,0 days 00:45:08
