Stop_stn,Ride_time,sub
CLY_1,06:21:28,0 days 00:50:49
DMM_1,06:24:17,0 days 00:53:45
AUO_1,06:26:20,0 days 00:55:26
AIN_1,06:27:11,0 days 00:55:34
CHK_1,06:30:50,0 days 01:01:50
EIK_1,06:31:10,0 days 00:57:08
BSO_1,06:33:18,0 days 00:52:41
XX_1,07:19:45,0 days 01:12:03
BNU_1,09:12:10,0 days 01:24:46
BMH_1,14:50:51,0 days 01:23:24
AIQ_1,17:13:05,0 days 01:11:43
ELC_1,17:13:53,0 days 01:09:13
KI_1,17:56:17,0 days 00:00:00
FJ_2,18:00:48,0 days 00:04:31
GN_2,18:01:45,0 days 00:05:28
IK_2,18:03:47,0 days 00:07:30
AFD_1,18:05:09,0 days 00:08:52
CVU_1,18:06:07,0 days 00:09:50
I_5,18:07:24,0 days 00:11:07
CGG_1,18:09:21,0 days 00:13:04
HE_2,18:10:16,0 days 00:13:59
EML_1,18:12:33,0 days 00:16:16
DNO_1,18:14:03,0 days 00:17:46
EQK_1,18:14:48,0 days 00:18:31
DYD_1,18:17:42,0 days 00:21:25
L_5,18:23:40,0 days 00:27:23
LN_1,18:26:15,0 days 00:29:58
AW_3,18:27:28,0 days 00:31:11
APW_1,18:28:11,0 days 00:31:54
OP_2,18:30:17,0 days 00:34:00
CD_3,18:30:58,0 days 00:34:41
EJM_1,18:31:56,0 days 00:35:39
BCI_1,18:33:43,0 days 00:37:26
ABS_1,18:36:07,0 days 00:39:50
QZ_1,18:38:05,0 days 00:41:48
APR_1,18:41:19,0 days 00:45:02
BKY_1,18:42:23,0 days 00:46:06
DCK_1,18:43:11,0 days 00:46:54
BPN_1,18:44:00,0 days 00:47:43
MT_1,18:45:28,0 days 00:49:11
QG_2,18:46:36,0 days 00:50:19
BVP_1,18:47:00,0 days 00:50:43
DBV_1,18:48:20,0 days 00:52:03
DGU_1,18:50:31,0 days 00:54:14
ENB_1,18:52:29,0 days 00:56:12
DPN_1,18:55:21,0 days 00:59:04
ADL_1,18:56:38,0 days 01:00:21
GJ_1,18:59:17,0 days 01:03:00
ACD_1,19:01:01,0 days 01:04:44
DGB_1,19:01:56,0 days 01:05:39
CCO_1,19:03:45,0 days 01:07:28
BJU_1,19:04:36,0 days 01:08:19
EBN_1,19:05:23,0 days 01:09:06
AXG_1,19:06:03,0 days 01:09:46
DLC_1,19:07:44,0 days 01:11:27
AXE_1,19:09:00,0 days 01:12:43
GJ_2,19:11:06,0 days 01:14:49
CFM_1,19:12:33,0 days 01:16:16
DOK_1,19:14:22,0 days 01:18:05
CZT_1,19:16:22,0 days 01:20:05
CMB_1,19:17:48,0 days 01:21:31
BMS_1,19:19:51,0 days 01:23:34
ALN_1,19:22:06,0 days 01:25:49
DON_1,19:22:51,0 days 01:26:34
BCH_1,19:24:20,0 days 01:28:03
ERZ_1,19:26:29,0 days 01:30:12
DVC_1,19:28:30,0 days 01:32:13
BAK_1,19:29:24,0 days 01:33:07
TD_1,19:30:17,0 days 01:34:00
CMY_1,19:32:16,0 days 01:35:59
GK_2,19:34:31,0 days 01:38:14
DX_2,19:36:42,0 days 01:40:25
EQI_1,19:38:31,0 days 01:42:14
CWA_1,19:42:07,0 days 01:45:50
EIH_1,19:43:11,0 days 01:46:54
CYZ_1,19:45:24,0 days 01:49:07
MJ_2,19:46:09,0 days 01:49:52
AAW_1,19:47:46,0 days 01:51:29
CLH_1,19:49:07,0 days 01:52:50
EHI_1,19:54:52,0 days 01:58:35
EPL_1,19:57:15,0 days 02:00:58
EH_2,19:58:50,0 days 02:02:33
DAC_1,20:00:08,0 days 02:03:51
LI_2,20:01:38,0 days 02:05:21
AQW_1,20:04:00,0 days 02:07:43
BKZ_1,20:05:35,0 days 02:09:18
UJ_1,20:07:05,0 days 02:10:48
AON_1,20:09:11,0 days 02:12:54
DYA_1,20:11:19,0 days 02:15:02
AFG_1,20:11:57,0 days 02:15:40
JY_2,20:13:57,0 days 02:17:40
AOT_1,20:19:07,0 days 01:22:10
CFF_1,20:21:28,0 days 01:24:33
BZP_1,20:23:24,0 days 01:26:09
