Stop_stn,Ride_time,sub
DZ_2,06:47:24,0 days 00:00:00
EQ_1,06:48:34,0 days 00:01:10
FN_1,06:50:23,0 days 00:02:59
FOC_1,06:52:31,0 days 00:05:07
DZ_1,06:53:57,0 days 00:06:33
JJ_1,07:02:27,0 days 00:15:03
BHW_1,07:03:57,0 days 00:16:33
ANN_1,07:04:41,0 days 00:17:17
HU_1,07:06:47,0 days 00:19:23
ELK_1,07:08:51,0 days 00:21:27
BZU_1,07:11:02,0 days 00:23:38
DXF_1,07:12:10,0 days 00:24:46
AID_1,07:13:05,0 days 00:25:41
EK_1,07:14:08,0 days 00:26:44
DUS_1,07:15:11,0 days 00:27:47
AZY_1,07:15:52,0 days 00:28:28
HB_2,07:18:10,0 days 00:30:46
AUF_1,07:19:33,0 days 00:32:09
CZR_1,07:20:21,0 days 00:32:57
DAB_1,07:21:23,0 days 00:33:59
BOH_1,07:22:15,0 days 00:34:51
CCV_1,07:26:43,0 days 00:39:19
FKB_1,07:28:16,0 days 00:10:18
ADQ_1,07:30:01,0 days 00:42:37
CYU_1,07:31:25,0 days 00:44:01
BEF_1,07:32:02,0 days 00:44:38
DLO_1,07:32:44,0 days 00:45:20
CYA_1,07:33:12,0 days 00:45:48
AZD_1,07:35:01,0 days 00:09:53
EEE_1,07:35:05,0 days 00:47:41
CKC_1,07:35:39,0 days 00:48:15
EVM_1,07:36:28,0 days 00:49:04
FAC_1,07:36:53,0 days 00:08:33
BAF_1,07:37:37,0 days 00:50:13
EO_1,07:39:26,0 days 00:52:02
LS_2,07:39:47,0 days 00:15:41
X_3,07:40:07,0 days 00:52:43
AFF_1,07:41:31,0 days 00:12:01
OW_2,07:42:49,0 days 00:55:25
ABQ_1,07:45:09,0 days 00:57:45
HW_2,07:47:18,0 days 00:59:54
DFQ_1,07:48:54,0 days 01:01:30
ETE_1,07:50:37,0 days 01:03:13
ENZ_1,07:51:32,0 days 01:04:08
CUV_1,07:52:31,0 days 01:05:07
BZE_1,07:53:25,0 days 01:06:01
EKT_1,07:54:42,0 days 01:07:18
CYN_1,07:56:33,0 days 01:09:09
ARZ_1,07:58:46,0 days 01:11:22
PC_1,07:58:56,0 days 01:11:32
FM_1,08:02:41,0 days 01:15:17
PG_2,08:06:01,0 days 01:18:37
EDG_1,08:08:28,0 days 01:21:04
AGT_1,08:09:06,0 days 01:21:42
AKD_1,08:10:09,0 days 00:47:32
KV_2,08:11:43,0 days 01:24:19
CBA_1,08:12:30,0 days 01:25:06
CTI_1,08:17:07,0 days 01:29:43
DBB_1,08:19:36,0 days 01:32:12
ADI_1,08:22:55,0 days 01:35:31
CZJ_1,08:24:59,0 days 01:37:35
DEP_1,08:32:55,0 days 01:06:37
DUP_1,08:44:30,0 days 00:07:08
DZX_1,08:46:12,0 days 00:08:30
EES_1,08:51:33,0 days 01:27:51
DAV_1,08:55:23,0 days 01:27:35
YV_1,10:25:19,0 days 01:28:58
