Stop_stn,Ride_time,sub
EMV_1,07:32:54,0 days 00:28:02
BSV_1,07:34:30,0 days 00:28:24
EXC_1,07:37:46,0 days 00:34:34
AQH_1,08:27:24,0 days 00:22:30
DES_1,08:32:03,0 days 00:27:48
EZF_1,08:33:10,0 days 00:00:00
EZB_1,08:34:52,0 days 00:01:42
TG_1,08:35:59,0 days 00:02:49
EAH_1,08:37:46,0 days 00:04:36
AES_1,08:39:23,0 days 00:06:13
A_7,08:40:30,0 days 00:07:20
EZL_1,08:41:06,0 days 00:07:56
EXD_1,08:43:07,0 days 00:09:57
DFY_1,08:44:24,0 days 00:11:14
BBL_1,08:45:41,0 days 00:12:31
BAR_1,08:46:56,0 days 00:13:46
BFP_1,08:48:35,0 days 00:15:25
DFK_1,08:50:18,0 days 00:17:08
CJR_1,08:52:04,0 days 00:18:54
EXR_1,08:58:58,0 days 00:25:48
CK_3,08:59:47,0 days 00:26:37
AWO_1,09:02:29,0 days 00:29:19
VE_1,09:06:01,0 days 00:32:51
UW_1,09:08:15,0 days 00:35:05
AOP_1,09:09:35,0 days 00:36:25
EZG_1,09:10:21,0 days 00:37:11
CCM_1,19:42:46,0 days 00:25:29
