Stop_stn,Ride_time,sub
EEQ_1,09:28:23,0 days 00:56:33
AAG_1,15:58:52,0 days 00:00:00
JC_1,16:03:01,0 days 00:04:09
JC_2,16:04:06,0 days 00:05:14
NZ_2,16:05:43,0 days 00:06:51
CQ_3,16:07:44,0 days 00:08:52
MU_2,16:08:46,0 days 00:09:54
AS_2,16:10:12,0 days 00:11:20
CUN_1,16:11:37,0 days 00:12:45
CU_2,16:12:40,0 days 00:13:48
CGL_1,16:14:03,0 days 00:15:11
BCW_1,16:15:13,0 days 00:16:21
YS_1,16:16:41,0 days 00:17:49
DJM_1,16:17:03,0 days 00:18:11
FOU_1,16:18:10,0 days 00:19:18
BCX_1,16:19:39,0 days 00:20:47
BVA_1,16:20:38,0 days 00:21:46
DXA_1,16:22:05,0 days 00:23:13
AUV_1,16:23:39,0 days 00:24:47
BYR_1,16:24:14,0 days 00:25:22
WS_1,16:25:32,0 days 00:26:40
FPJ_1,16:27:07,0 days 00:28:15
CPB_1,16:28:55,0 days 00:30:03
DTT_1,16:30:57,0 days 00:32:05
ENJ_1,16:32:24,0 days 00:33:32
DSF_1,16:33:17,0 days 00:34:25
VZ_1,16:34:04,0 days 00:35:12
XB_1,16:35:37,0 days 00:36:45
BJZ_1,16:37:51,0 days 00:38:59
CCS_1,16:39:02,0 days 00:40:10
BQW_1,16:39:57,0 days 00:41:05
AVJ_1,16:42:03,0 days 00:43:11
EDF_1,16:45:14,0 days 00:46:22
AHJ_1,16:46:44,0 days 00:47:52
