Stop_stn,Ride_time,sub
DIQ_1,07:29:55,0 days 00:00:00
OB_2,07:31:04,0 days 00:01:09
DWG_1,07:32:32,0 days 00:02:37
CEB_1,07:34:05,0 days 00:04:10
AAA_1,07:35:58,0 days 00:06:03
CGM_1,07:37:26,0 days 00:07:31
BEG_1,07:38:35,0 days 00:08:40
AOY_1,07:39:45,0 days 00:09:50
DMY_1,07:41:04,0 days 00:11:09
BEZ_1,07:42:10,0 days 00:12:15
AGG_1,07:43:56,0 days 00:14:01
XG_1,07:45:19,0 days 00:15:24
BWM_1,07:48:08,0 days 00:18:13
CLB_1,07:51:39,0 days 00:21:44
EOK_1,07:52:12,0 days 00:22:17
BTQ_1,07:55:05,0 days 00:25:10
EIQ_1,07:57:09,0 days 00:27:14
ADT_1,07:58:42,0 days 00:28:47
EGG_1,08:00:21,0 days 00:30:26
BLT_1,08:03:12,0 days 00:33:17
OX_2,08:04:44,0 days 00:34:49
P_2,08:07:16,0 days 00:37:21
DFV_1,08:08:18,0 days 00:38:23
DOH_1,08:09:07,0 days 00:39:12
ATS_1,08:15:50,0 days 00:27:08
