Stop_stn,Ride_time,sub
FAN_1,13:02:29,0 days 00:19:27
EV_2,13:53:29,0 days 00:00:00
EVW_1,13:56:47,0 days 00:03:18
CYK_1,13:59:06,0 days 00:05:37
BAS_1,14:02:11,0 days 00:08:42
FAF_1,14:06:24,0 days 00:12:55
FAG_1,14:07:25,0 days 00:13:56
XW_1,14:09:35,0 days 00:16:06
FAP_1,14:13:37,0 days 00:20:08
FAR_1,14:14:05,0 days 00:20:36
FAJ_1,14:15:40,0 days 00:22:11
FNO_1,14:17:02,0 days 00:23:33
EYC_1,14:17:25,0 days 00:23:56
DK_3,14:19:33,0 days 00:26:04
DQJ_1,14:20:39,0 days 00:27:10
DF_2,14:23:33,0 days 00:30:04
AHP_1,14:25:20,0 days 00:31:51
FCL_1,14:26:05,0 days 00:32:36
