Stop_stn,Ride_time,sub
FFE_1,07:32:40,0 days 00:00:00
CRR_1,07:34:57,0 days 00:02:17
DKI_1,07:44:27,0 days 00:11:47
DSQ_1,07:48:06,0 days 00:15:26
TT_1,08:00:27,0 days 00:27:47
NW_1,08:01:03,0 days 00:28:23
AHX_1,08:02:10,0 days 00:29:30
CFY_1,08:03:49,0 days 00:31:09
CMI_1,08:05:31,0 days 00:32:51
AYP_1,08:06:28,0 days 00:33:48
AJW_1,08:07:45,0 days 00:35:05
UJ_1,08:08:42,0 days 00:36:02
AGJ_1,08:10:02,0 days 00:37:22
BWL_1,08:12:06,0 days 00:39:26
CW_3,08:12:44,0 days 00:40:04
DAM_1,08:13:44,0 days 00:41:04
DIQ_1,08:16:07,0 days 00:43:27
