Stop_stn,Ride_time,sub
MZ_2,16:51:21,0 days 00:00:00
DX_2,16:55:13,0 days 00:03:52
EQI_1,16:58:37,0 days 00:07:16
CWA_1,16:59:30,0 days 00:08:09
EIH_1,17:00:40,0 days 00:09:19
BVU_1,17:03:04,0 days 00:11:43
EPM_1,17:04:03,0 days 00:12:42
MX_1,17:06:45,0 days 00:15:24
CHN_1,17:08:01,0 days 00:16:40
MX_2,17:09:22,0 days 00:18:01
DZH_1,17:10:37,0 days 00:19:16
DNU_1,17:12:37,0 days 00:21:16
CBG_1,17:14:05,0 days 00:22:44
ANA_1,17:15:13,0 days 00:23:52
AGW_1,17:16:16,0 days 00:24:55
ERT_1,17:17:45,0 days 00:26:24
OP_2,17:19:35,0 days 00:28:14
CD_3,17:20:06,0 days 00:28:45
EJM_1,17:22:17,0 days 00:30:56
BCI_1,17:23:28,0 days 00:32:07
ABS_1,17:25:20,0 days 00:33:59
QG_1,20:17:02,0 days 00:17:40
CVY_1,20:23:37,0 days 00:23:13
