Stop_stn,Ride_time,sub
ESD_1,07:54:23,0 days 00:00:00
IN_2,07:58:53,0 days 00:04:30
NU_2,08:00:16,0 days 00:05:53
CIR_1,08:02:50,0 days 00:08:27
BLZ_1,08:03:44,0 days 00:09:21
AM_3,08:05:10,0 days 00:10:47
EZS_1,08:08:23,0 days 00:14:00
DBN_1,08:14:23,0 days 00:20:00
BYX_1,08:16:26,0 days 00:22:03
CZA_1,08:19:21,0 days 00:24:58
APJ_1,08:21:57,0 days 00:27:34
ADF_1,08:25:03,0 days 01:18:39
PP_1,08:27:43,0 days 00:33:20
BYV_1,08:31:42,0 days 00:37:19
AVF_1,08:33:21,0 days 01:28:40
ATJ_1,08:34:11,0 days 00:39:48
LU_2,08:35:59,0 days 00:41:36
BSJ_1,08:38:31,0 days 00:44:08
AH_3,08:39:07,0 days 00:44:44
NP_2,08:39:59,0 days 00:45:36
CWS_1,08:41:39,0 days 00:47:16
CZJ_1,08:42:03,0 days 01:33:14
DDZ_1,08:44:06,0 days 00:49:43
AN_4,08:45:47,0 days 00:51:24
NX_2,08:46:41,0 days 00:52:18
DSK_1,08:48:14,0 days 00:53:51
EFV_1,08:51:08,0 days 00:56:45
BEM_1,08:53:36,0 days 00:59:13
FAA_1,08:53:53,0 days 01:27:49
FCD_1,08:54:21,0 days 00:59:58
TP_1,08:56:03,0 days 01:01:40
EZH_1,08:59:11,0 days 01:04:48
DDU_1,09:00:15,0 days 01:05:52
YG_1,09:02:30,0 days 01:08:07
ER_1,09:03:39,0 days 01:09:16
CSD_1,09:06:00,0 days 01:11:37
RI_1,09:08:29,0 days 01:14:06
IP_2,09:10:24,0 days 01:16:01
BPT_1,09:11:17,0 days 01:16:54
BUX_1,09:13:20,0 days 01:18:57
EGY_1,09:18:59,0 days 01:24:36
EGZ_1,09:19:33,0 days 01:25:10
DBB_1,09:26:52,0 days 01:32:29
ADI_1,09:29:50,0 days 01:35:27
YV_1,09:31:03,0 days 01:36:40
