Stop_stn,Ride_time,sub
BNK_1,07:25:51,0 days 00:44:09
PV_1,08:04:13,0 days 01:17:49
AJN_1,16:52:41,0 days 00:00:00
CII_1,16:57:32,0 days 00:04:51
FBN_1,17:01:38,0 days 00:08:57
BFG_1,17:02:24,0 days 00:09:43
EPK_1,17:03:33,0 days 00:10:52
BCR_1,17:04:56,0 days 00:12:15
DZR_1,17:06:43,0 days 00:14:02
DKJ_1,17:07:58,0 days 00:15:17
ARZ_1,17:08:33,0 days 00:15:52
PC_1,17:09:14,0 days 00:16:33
EES_1,17:10:21,0 days 00:17:40
DAV_1,17:11:11,0 days 00:18:30
N_1,17:14:49,0 days 00:22:08
AB_1,17:15:54,0 days 00:23:13
ELG_1,17:17:23,0 days 00:24:42
AXM_1,17:18:33,0 days 00:25:52
ERG_1,17:21:00,0 days 00:28:19
AJO_1,17:23:37,0 days 00:30:56
DZL_1,17:25:26,0 days 00:32:45
CF_1,17:27:32,0 days 00:34:51
DYR_1,17:30:00,0 days 00:37:19
BVV_1,17:30:47,0 days 00:38:06
DSR_1,17:32:37,0 days 00:39:56
DXD_1,17:35:29,0 days 00:42:48
BQT_1,17:36:45,0 days 00:44:04
V_1,17:37:58,0 days 00:45:17
EPE_1,17:38:49,0 days 00:46:08
RL_1,17:42:51,0 days 00:50:10
ATM_1,17:45:34,0 days 00:52:53
DIW_1,17:46:53,0 days 00:54:12
AJL_1,17:47:41,0 days 00:55:00
HW_1,17:48:45,0 days 00:56:04
DN_1,17:50:27,0 days 00:57:46
EMO_1,17:55:11,0 days 01:02:30
NK_1,17:56:20,0 days 01:03:39
OW_2,17:58:19,0 days 01:05:38
ABQ_1,18:01:25,0 days 01:08:44
HW_2,18:02:09,0 days 01:09:28
BUW_1,18:05:03,0 days 01:12:22
DJP_1,18:05:36,0 days 01:12:55
AWN_1,18:08:28,0 days 01:15:47
AEA_1,18:10:25,0 days 01:17:44
FKP_1,18:12:00,0 days 01:19:19
AYD_1,18:12:59,0 days 01:20:18
Q_2,18:14:51,0 days 01:22:10
G_3,18:21:38,0 days 01:28:57
AC_1,18:24:09,0 days 01:31:28
BTF_1,18:25:57,0 days 01:33:16
AOH_1,18:27:28,0 days 01:34:47
CKL_1,18:30:48,0 days 01:38:07
CYX_1,18:36:06,0 days 01:43:25
