Stop_stn,Ride_time,sub
DOO_1,16:57:33,0 days 00:00:00
DQ_2,16:59:30,0 days 00:01:57
AOT_1,17:01:40,0 days 00:04:07
CMB_1,17:03:59,0 days 00:06:26
BMS_1,17:05:56,0 days 00:08:23
BZP_1,17:06:53,0 days 00:09:20
CWM_1,17:08:08,0 days 00:10:35
BZR_1,17:09:07,0 days 00:11:34
CKX_1,17:10:03,0 days 00:12:30
CYY_1,17:11:40,0 days 00:14:07
CCR_1,17:13:50,0 days 00:16:17
CNU_1,17:15:05,0 days 00:17:32
DVI_1,17:15:59,0 days 00:18:26
DPU_1,17:19:00,0 days 00:21:27
CZT_1,17:21:02,0 days 00:05:55
EAO_1,17:22:09,0 days 00:24:36
CAB_1,17:23:08,0 days 00:25:35
DZU_1,17:24:58,0 days 00:27:25
EWM_1,17:26:54,0 days 00:29:21
CXR_1,17:27:54,0 days 00:30:21
ERW_1,17:29:00,0 days 00:31:27
CEN_1,17:30:09,0 days 00:32:36
MI_2,17:30:46,0 days 00:33:13
CFF_1,17:30:57,0 days 00:06:18
CED_1,17:31:56,0 days 00:34:23
MI_1,17:32:53,0 days 00:35:20
GR_2,17:34:39,0 days 00:37:06
N_5,17:35:31,0 days 00:37:58
IS_2,17:36:19,0 days 00:38:46
TB_1,17:37:20,0 days 00:12:40
CF_3,17:39:46,0 days 00:42:13
PM_2,17:42:08,0 days 00:44:35
ASK_1,17:43:15,0 days 00:45:42
CEZ_1,17:43:55,0 days 00:46:22
XE_1,17:46:56,0 days 00:49:23
CEH_1,17:51:09,0 days 00:53:36
BXY_1,17:52:36,0 days 00:55:03
EDF_1,17:57:01,0 days 00:59:28
EJY_1,17:58:34,0 days 01:01:01
DIB_1,18:00:15,0 days 01:02:42
ASU_1,18:02:24,0 days 01:04:51
AGP_1,18:02:57,0 days 01:05:24
BXL_1,18:04:14,0 days 01:06:41
BSG_1,18:05:23,0 days 01:07:50
EZB_1,18:07:43,0 days 01:10:10
TG_1,18:09:13,0 days 01:11:40
BEK_1,18:10:02,0 days 00:54:23
AFN_1,18:12:09,0 days 00:57:53
EAG_1,18:12:12,0 days 01:14:39
DXO_1,18:12:48,0 days 01:15:15
FA_2,18:13:59,0 days 01:16:26
EZH_1,18:16:15,0 days 01:18:42
DDU_1,18:17:27,0 days 01:19:54
YG_1,18:19:50,0 days 01:22:17
ER_1,18:22:05,0 days 01:24:32
CSD_1,18:23:56,0 days 01:26:23
RI_1,18:26:49,0 days 01:29:16
EAD_1,18:29:17,0 days 01:31:44
AKV_1,18:31:01,0 days 01:33:28
CFE_1,18:32:43,0 days 01:35:10
FP_2,18:33:18,0 days 01:35:45
KV_1,18:36:19,0 days 01:38:46
CEQ_1,18:36:52,0 days 01:39:19
DZD_1,18:39:05,0 days 01:41:32
FIR_1,18:44:42,0 days 01:47:09
AUB_1,18:58:23,0 days 01:45:05
