Stop_stn,Ride_time,sub
KY_2,19:10:12,0 days 00:00:00
BKX_1,19:12:40,0 days 00:02:28
EGL_1,19:13:59,0 days 00:03:47
ELP_1,19:17:40,0 days 00:07:28
EUQ_1,19:23:21,0 days 00:13:09
UL_1,19:25:31,0 days 00:15:19
NP_1,19:26:03,0 days 00:15:51
GV_1,19:28:13,0 days 00:18:01
AV_2,19:29:58,0 days 00:19:46
C_4,19:31:16,0 days 00:21:04
JS_2,19:32:07,0 days 00:21:55
AWG_1,19:34:23,0 days 00:24:11
DFJ_1,19:36:02,0 days 00:25:50
B_4,19:38:11,0 days 00:27:59
NP_2,19:40:44,0 days 00:30:32
CWS_1,19:41:45,0 days 00:31:33
BKA_1,19:43:26,0 days 00:33:14
ST_1,19:44:47,0 days 00:34:35
CVN_1,19:47:23,0 days 00:37:11
DWR_1,19:48:10,0 days 00:37:58
