Stop_stn,Ride_time,sub
ESD_1,06:50:55,0 days 00:00:00
CQ_1,06:54:37,0 days 00:03:42
TH_1,06:56:04,0 days 00:05:09
DDG_1,06:57:29,0 days 00:06:34
BOF_1,06:59:10,0 days 00:08:15
D_2,07:00:52,0 days 00:09:57
CM_2,07:03:58,0 days 00:13:03
CNE_1,07:05:52,0 days 00:14:57
DHE_1,07:06:40,0 days 00:15:45
AEX_1,07:07:49,0 days 00:16:54
BSF_1,07:09:04,0 days 00:18:09
EGU_1,07:09:37,0 days 00:18:42
ECH_1,07:10:45,0 days 00:19:50
DJD_1,07:12:55,0 days 00:22:00
BLH_1,07:14:38,0 days 00:23:43
BGW_1,07:15:44,0 days 00:24:49
AOU_1,07:16:41,0 days 00:25:46
BPV_1,07:18:01,0 days 00:27:06
BRA_1,07:20:40,0 days 00:29:45
CHF_1,07:22:37,0 days 00:31:42
XP_1,07:25:09,0 days 00:34:14
DW_2,07:26:02,0 days 00:35:07
FLX_1,07:28:29,0 days 00:37:34
QB_2,07:31:13,0 days 00:40:18
BWQ_1,07:33:15,0 days 00:42:20
ENC_1,07:36:28,0 days 00:45:33
DIZ_1,07:40:55,0 days 00:50:00
EQT_1,07:43:08,0 days 00:52:13
EIM_1,07:43:48,0 days 00:52:53
DOA_1,07:45:10,0 days 00:54:15
DIP_1,07:46:46,0 days 00:55:51
AZB_1,07:50:22,0 days 00:59:27
EUI_1,07:51:21,0 days 01:00:26
CWR_1,07:51:59,0 days 01:01:04
BTE_1,07:54:05,0 days 01:03:10
NR_2,07:56:08,0 days 01:05:13
HL_2,07:57:50,0 days 01:06:55
AW_2,07:59:16,0 days 01:08:21
JA_1,08:00:18,0 days 01:09:23
EDB_1,08:02:35,0 days 01:11:40
GA_2,08:03:28,0 days 01:12:33
BQC_1,08:04:11,0 days 01:13:16
ASY_1,08:05:20,0 days 01:14:25
CIZ_1,08:19:09,0 days 00:59:18
EDD_1,09:19:53,0 days 00:50:22
LP_2,10:20:20,0 days 00:54:03
CUA_1,18:18:12,0 days 00:54:28
BOI_1,18:20:16,0 days 00:42:05
EIC_1,18:21:27,0 days 00:42:49
CBV_1,18:22:47,0 days 00:27:31
EHM_1,18:28:22,0 days 00:32:36
EBA_1,18:30:54,0 days 00:35:40
BIZ_1,18:35:53,0 days 00:42:49
FLV_1,18:50:12,0 days 00:36:53
CDK_1,18:54:13,0 days 01:02:23
FLW_1,19:03:10,0 days 00:44:02
DLI_1,19:11:40,0 days 00:13:23
BQO_1,19:24:49,0 days 01:04:46
EKH_1,20:16:10,0 days 00:38:12
