Stop_stn,Ride_time,sub
BKB_1,07:21:21,0 days 00:07:17
FKY_1,07:44:13,0 days 00:00:00
ARX_1,07:46:33,0 days 00:45:27
ETH_1,07:47:04,0 days 00:02:51
EMQ_1,07:48:22,0 days 00:04:09
EWA_1,07:50:06,0 days 00:05:53
EVB_1,07:53:42,0 days 00:09:29
CMR_1,07:55:15,0 days 00:11:02
EWL_1,07:56:51,0 days 00:12:38
DYE_1,07:57:41,0 days 00:13:28
COH_1,07:59:13,0 days 00:15:00
CI_1,08:00:18,0 days 00:16:05
AMQ_1,08:02:31,0 days 00:18:18
BFY_1,08:04:16,0 days 00:20:03
BST_1,08:06:39,0 days 00:22:26
AUH_1,08:08:49,0 days 00:24:36
EQS_1,08:10:19,0 days 00:26:06
CCH_1,08:14:31,0 days 00:30:18
EBU_1,08:15:52,0 days 00:31:39
BGV_1,08:17:32,0 days 00:33:19
CUD_1,08:19:41,0 days 00:35:28
AZZ_1,08:20:49,0 days 00:36:36
IV_2,08:22:05,0 days 00:37:52
ALV_1,08:23:33,0 days 00:39:20
BMB_1,08:24:53,0 days 00:40:40
DT_2,08:27:53,0 days 00:43:40
BSK_1,08:29:44,0 days 00:45:31
CUU_1,08:31:21,0 days 00:47:08
DUW_1,08:35:08,0 days 00:50:55
BUD_1,08:38:07,0 days 00:53:54
EGB_1,08:40:12,0 days 00:55:59
AIY_1,08:44:00,0 days 00:59:47
BUE_1,08:45:33,0 days 01:01:20
EHC_1,08:48:59,0 days 01:04:46
EHA_1,08:50:36,0 days 01:06:23
EHB_1,08:52:46,0 days 01:08:33
BFA_1,08:53:59,0 days 01:09:46
AFA_1,09:01:59,0 days 01:17:46
BHQ_1,09:03:02,0 days 01:18:49
CHH_1,09:03:58,0 days 01:19:45
BBD_1,09:49:43,0 days 01:19:42
ADW_1,18:45:41,0 days 00:18:40
