Stop_stn,Ride_time,sub
CTL_1,08:10:06,0 days 00:16:37
BKD_1,08:25:26,0 days 00:34:18
BXX_1,08:41:11,0 days 00:47:10
COZ_1,17:14:33,0 days 00:00:00
AOX_1,17:21:25,0 days 00:06:52
CLP_1,17:22:31,0 days 00:07:58
AAD_1,17:24:14,0 days 00:09:41
AHC_1,17:26:59,0 days 00:12:26
CND_1,17:28:04,0 days 00:13:31
QP_1,17:29:12,0 days 00:14:39
DIS_1,17:30:12,0 days 00:15:39
BT_3,17:31:09,0 days 00:16:36
BKF_1,17:33:03,0 days 00:18:30
EIV_1,17:35:33,0 days 00:21:00
DBW_1,17:35:54,0 days 00:21:21
DGL_1,17:42:12,0 days 00:27:39
DXZ_1,17:43:42,0 days 00:29:09
AIC_1,17:45:01,0 days 00:30:28
AFC_1,17:46:03,0 days 00:31:30
CZF_1,17:47:30,0 days 00:32:57
TW_1,17:48:31,0 days 00:33:58
FBE_1,17:49:29,0 days 00:34:56
EFJ_1,17:50:21,0 days 00:35:48
CSF_1,17:52:17,0 days 00:37:44
DYL_1,17:55:10,0 days 00:40:37
CHP_1,17:56:10,0 days 00:41:37
ZU_1,17:57:35,0 days 00:43:02
CY_3,17:58:57,0 days 00:44:24
ECU_1,18:01:15,0 days 00:46:42
ESZ_1,18:03:18,0 days 00:48:45
ARQ_1,18:04:32,0 days 00:49:59
CSK_1,18:06:09,0 days 00:51:36
EKA_1,18:07:10,0 days 00:52:37
ECN_1,18:09:02,0 days 00:54:29
