Stop_stn,Ride_time,sub
FA_2,07:28:38,0 days 00:46:06
AAG_1,09:09:28,0 days 00:00:00
JC_1,09:12:17,0 days 00:02:49
JC_2,09:14:10,0 days 00:04:42
NZ_2,09:16:14,0 days 00:06:46
CQ_3,09:18:45,0 days 00:09:17
MU_2,09:19:47,0 days 00:10:19
AS_2,09:22:59,0 days 00:13:31
CUN_1,09:25:22,0 days 00:15:54
CU_2,09:26:47,0 days 00:17:19
CGL_1,09:27:59,0 days 00:18:31
BCW_1,09:29:08,0 days 00:19:40
YS_1,09:30:55,0 days 00:21:27
DJM_1,09:31:35,0 days 00:22:07
FOU_1,09:34:44,0 days 00:25:16
BCX_1,09:35:51,0 days 00:26:23
BVA_1,09:36:41,0 days 00:27:13
DXA_1,09:39:36,0 days 00:30:08
DNM_1,09:41:21,0 days 00:31:53
BLU_1,09:42:16,0 days 00:32:48
BP_2,09:43:52,0 days 00:34:24
AL_3,09:44:52,0 days 00:35:24
EZF_1,09:47:14,0 days 00:37:46
EZB_1,09:50:24,0 days 00:40:56
TG_1,09:51:59,0 days 00:42:31
DXO_1,09:56:34,0 days 00:47:06
EZI_1,09:58:13,0 days 00:48:45
X_1,10:00:30,0 days 00:51:02
AKY_1,10:02:51,0 days 00:53:23
BLL_1,10:05:38,0 days 00:56:10
VD_1,10:07:46,0 days 00:58:18
ASL_1,10:10:00,0 days 01:00:32
CII_1,10:12:41,0 days 01:03:13
DEX_1,10:14:10,0 days 01:04:42
ARC_1,10:15:10,0 days 01:05:42
EC_1,10:18:30,0 days 01:09:02
DZD_1,10:19:50,0 days 01:10:22
AUB_1,10:21:55,0 days 01:12:27
CZE_1,10:24:52,0 days 01:15:24
N_1,10:26:29,0 days 01:17:01
AB_1,10:27:38,0 days 01:18:10
ELG_1,10:29:33,0 days 01:20:05
AXM_1,10:31:06,0 days 01:21:38
BZW_1,10:32:31,0 days 01:23:03
DDT_1,10:34:13,0 days 01:24:45
KT_1,10:35:18,0 days 01:25:50
OJ_1,10:37:07,0 days 01:27:39
AN_1,10:39:03,0 days 01:29:35
HZ_1,10:40:12,0 days 01:30:44
M_1,10:40:47,0 days 01:31:19
EDH_1,10:42:28,0 days 01:33:00
UM_1,10:51:51,0 days 01:42:23
ML_1,10:52:37,0 days 01:43:09
BTB_1,10:53:44,0 days 01:44:16
HR_1,10:55:40,0 days 01:46:12
AA_1,10:56:35,0 days 01:47:07
BCF_1,10:58:54,0 days 01:49:26
DCT_1,10:59:57,0 days 01:50:29
BWG_1,11:00:56,0 days 01:51:28
CYX_1,11:04:24,0 days 01:54:56
G_2,11:06:12,0 days 01:56:44
FM_1,11:08:36,0 days 01:59:08
PG_2,11:10:32,0 days 02:01:04
AGT_1,11:13:07,0 days 02:03:39
BSX_1,11:15:15,0 days 02:05:47
FP_1,11:16:48,0 days 02:07:20
AHO_1,11:18:10,0 days 02:08:42
CHO_1,11:20:17,0 days 02:10:49
EZV_1,11:22:24,0 days 02:12:56
BQP_1,11:26:18,0 days 02:16:50
ON_1,11:28:27,0 days 02:18:59
CAC_1,11:28:56,0 days 02:19:28
AAS_1,11:33:23,0 days 02:23:55
UW_1,11:35:59,0 days 02:26:31
AOP_1,11:38:13,0 days 02:28:45
EZG_1,11:40:11,0 days 02:30:43
AQU_1,11:41:38,0 days 02:32:10
JI_2,11:42:57,0 days 02:33:29
AOK_1,11:44:46,0 days 02:35:18
FY_2,11:45:15,0 days 02:35:47
AUV_1,11:46:13,0 days 02:36:45
BYR_1,11:47:03,0 days 02:37:35
CPB_1,11:51:27,0 days 02:41:59
DTT_1,11:53:52,0 days 02:44:24
ENJ_1,11:55:00,0 days 02:45:32
DSF_1,11:56:01,0 days 02:46:33
VZ_1,11:57:03,0 days 02:47:35
XB_1,11:58:11,0 days 02:48:43
BJZ_1,12:00:35,0 days 02:51:07
CCS_1,12:02:28,0 days 02:53:00
BQW_1,12:03:28,0 days 02:54:00
EEQ_1,12:04:51,0 days 02:55:23
AVJ_1,12:06:00,0 days 02:56:32
EDF_1,12:09:55,0 days 03:00:27
AHJ_1,12:11:44,0 days 03:02:16
EAG_1,13:26:37,0 days 00:48:39
ASR_1,18:36:38,0 days 01:15:39
QW_1,19:38:41,0 days 02:18:56
ABH_1,19:40:46,0 days 02:18:56
WS_1,19:53:35,0 days 02:31:13
FPJ_1,19:55:31,0 days 02:33:37
