Stop_stn,Ride_time,sub
AOG_1,07:13:19,0 days 00:00:00
DFP_1,07:18:23,0 days 00:05:04
BN_1,07:21:33,0 days 00:08:14
ALD_1,07:23:52,0 days 00:10:33
AMF_1,07:26:23,0 days 00:13:04
FKD_1,07:29:04,0 days 00:15:45
CTK_1,07:30:09,0 days 00:16:50
DCE_1,07:34:33,0 days 00:21:14
DCG_1,07:34:50,0 days 00:21:31
EGV_1,07:36:49,0 days 00:23:30
RX_1,07:39:57,0 days 00:26:38
CSI_1,07:41:08,0 days 00:27:49
ERN_1,07:42:06,0 days 00:28:47
COV_1,07:43:16,0 days 00:29:57
ATN_1,07:44:35,0 days 00:31:16
YC_1,07:45:31,0 days 00:32:12
DBP_1,07:46:50,0 days 00:33:31
EJD_1,07:47:58,0 days 00:34:39
AEA_1,07:51:28,0 days 00:38:09
FKP_1,07:53:38,0 days 00:40:19
AYD_1,07:54:21,0 days 00:41:02
Q_2,07:55:39,0 days 00:42:20
AUM_1,07:59:10,0 days 00:45:51
CVA_1,08:01:47,0 days 00:48:28
KN_1,08:03:46,0 days 00:50:27
N_1,08:08:38,0 days 00:55:19
BHA_1,08:10:10,0 days 00:56:51
CYM_1,08:11:53,0 days 00:58:34
PC_2,08:12:54,0 days 00:59:35
ESQ_1,08:13:52,0 days 01:00:33
BNP_1,08:16:08,0 days 01:02:49
DLN_1,08:19:49,0 days 01:06:30
CVW_1,08:21:03,0 days 01:07:44
CRD_1,08:23:19,0 days 01:10:00
LQ_2,08:28:43,0 days 01:15:24
ADC_1,08:31:24,0 days 01:18:05
BEW_1,08:33:28,0 days 01:20:09
CHO_1,08:36:00,0 days 01:22:41
EZV_1,08:37:25,0 days 01:24:06
BQP_1,08:39:57,0 days 01:26:38
ON_1,08:41:08,0 days 01:27:49
CAC_1,08:43:04,0 days 01:29:45
FA_1,08:44:55,0 days 01:31:36
GE_2,08:48:15,0 days 01:34:56
EVS_1,08:50:28,0 days 01:37:09
RK_1,08:51:23,0 days 01:38:04
GX_2,08:52:46,0 days 01:39:27
EJS_1,08:54:23,0 days 01:41:04
EZC_1,08:55:18,0 days 01:41:59
EKM_1,08:56:19,0 days 01:43:00
EOV_1,12:26:09,0 days 00:52:32
BPF_1,13:14:47,0 days 01:41:31
DKY_1,17:48:49,0 days 00:18:07
KE_2,18:21:51,0 days 00:19:35
CWZ_1,21:07:16,0 days 00:17:12
