Stop_stn,Ride_time,sub
LOR 1 GEYLANG TER,08:07:45,0 days 00:00:00
AEU_1,08:09:04,0 days 00:01:19
EYZ_1,08:11:05,0 days 00:03:20
EZA_1,08:12:17,0 days 00:04:32
EZD_1,08:13:02,0 days 00:05:17
PI_2,08:15:46,0 days 00:08:01
AN_4,08:18:12,0 days 00:10:27
NX_2,08:18:58,0 days 00:11:13
DSK_1,08:20:15,0 days 00:12:30
U_4,08:21:59,0 days 00:14:14
QQ_1,08:23:36,0 days 00:15:51
G_4,08:26:01,0 days 00:18:16
T_4,08:27:06,0 days 00:19:21
FY_1,08:28:01,0 days 00:20:16
BWV_1,08:33:47,0 days 00:26:02
EHW_1,08:37:03,0 days 00:29:18
DDZ_1,08:41:45,0 days 00:34:00
AA_3,08:44:12,0 days 00:36:27
GX_2,08:45:43,0 days 00:37:58
EJS_1,08:47:09,0 days 00:39:24
EZC_1,08:48:25,0 days 00:40:40
EKM_1,08:49:59,0 days 00:42:14
BPF_1,08:53:56,0 days 00:46:11
