Stop_stn,Ride_time,sub
KI_1,06:20:17,0 days 00:00:00
AS_1,06:23:33,0 days 00:03:16
NS_2,06:25:28,0 days 00:05:11
AWS_1,06:27:04,0 days 00:06:47
DQL_1,06:28:08,0 days 00:07:51
BIM_1,06:29:42,0 days 00:09:25
D_4,06:32:11,0 days 00:11:54
B_5,06:33:18,0 days 00:13:01
DLZ_1,06:35:47,0 days 00:15:30
BB_3,06:38:13,0 days 00:17:56
DSS_1,06:39:26,0 days 00:19:09
EZT_1,06:40:21,0 days 00:20:04
EUR_1,06:41:10,0 days 00:20:53
IN_2,06:42:44,0 days 00:22:27
AE_3,06:45:40,0 days 00:25:23
WC_1,06:47:52,0 days 00:27:35
DIA_1,06:49:02,0 days 00:28:45
DHI_1,06:51:20,0 days 00:31:03
CT_1,06:52:25,0 days 00:32:08
DJQ_1,06:55:36,0 days 00:35:19
WQ_1,06:56:42,0 days 00:36:25
UU_1,06:59:42,0 days 00:39:25
AEZ_1,07:01:52,0 days 00:41:35
DQI_1,07:02:40,0 days 00:42:23
CEC_1,07:04:05,0 days 00:43:48
AHY_1,07:05:15,0 days 00:44:58
BPQ_1,07:06:15,0 days 00:45:58
VH_1,07:10:35,0 days 00:50:18
DKP_1,07:12:23,0 days 00:52:06
AJZ_1,07:15:07,0 days 00:54:50
AAJ_1,07:16:23,0 days 00:56:06
AZO_1,07:16:52,0 days 00:56:35
JU_1,07:17:38,0 days 00:57:21
AEW_1,07:20:55,0 days 01:00:38
DVX_1,07:24:05,0 days 01:03:48
AMJ_1,07:26:13,0 days 01:05:56
BKH_1,07:28:37,0 days 01:08:20
ARO_1,07:29:14,0 days 01:08:57
DDD_1,07:30:24,0 days 01:10:07
CVE_1,07:31:57,0 days 01:11:40
CTO_1,07:34:59,0 days 01:14:42
BHH_1,07:39:09,0 days 01:18:52
DSV_1,07:40:39,0 days 01:20:22
BUH_1,07:41:48,0 days 01:21:31
DPI_1,07:42:43,0 days 01:22:26
DUO_1,07:43:59,0 days 01:23:42
AYG_1,07:45:25,0 days 01:25:08
DCV_1,07:47:11,0 days 01:26:54
BCF_1,07:49:00,0 days 01:28:43
DCT_1,07:49:51,0 days 01:29:34
BE_1,07:51:15,0 days 01:30:58
CRG_1,07:54:05,0 days 01:33:48
EEO_1,08:45:14,0 days 00:17:18
JU_2,09:24:20,0 days 00:56:22
ALT_1,09:42:14,0 days 01:13:43
AXX_1,09:57:46,0 days 01:30:27
