Stop_stn,Ride_time,sub
EV_2,06:34:10,0 days 00:00:00
MH_2,06:38:25,0 days 00:04:15
ELY_1,06:40:21,0 days 00:06:11
PL_2,06:41:53,0 days 00:07:43
QN_1,06:42:42,0 days 00:08:32
AXF_1,06:43:55,0 days 00:09:45
AVX_1,06:44:58,0 days 00:10:48
BWK_1,06:45:55,0 days 00:11:45
BXK_1,06:46:54,0 days 00:12:44
EVJ_1,06:48:51,0 days 00:14:41
JB_1,06:50:32,0 days 00:16:22
ATK_1,06:52:54,0 days 00:18:44
BYQ_1,06:55:18,0 days 00:21:08
SL_1,06:57:56,0 days 00:23:46
DJJ_1,06:59:25,0 days 00:25:15
GS_2,07:01:28,0 days 00:27:18
CQG_1,07:03:13,0 days 00:29:03
BOR_1,07:06:08,0 days 00:31:58
HT_2,07:07:41,0 days 00:33:31
F_5,07:11:39,0 days 00:37:29
I_4,07:12:26,0 days 00:38:16
