Stop_stn,Ride_time,sub
ETH_1,07:37:56,0 days 00:00:00
EMQ_1,07:41:56,0 days 00:04:00
EWA_1,07:43:34,0 days 00:05:38
COH_1,07:49:43,0 days 00:11:47
CI_1,07:50:34,0 days 00:12:38
AMQ_1,07:52:42,0 days 00:14:46
EQS_1,07:56:50,0 days 00:18:54
EBU_1,08:01:56,0 days 00:24:00
BGV_1,08:03:38,0 days 00:25:42
IV_2,08:06:32,0 days 00:28:36
DT_2,08:10:59,0 days 00:33:03
BSK_1,08:12:26,0 days 00:34:30
DUW_1,08:17:43,0 days 00:39:47
BUD_1,08:20:35,0 days 00:42:39
EGB_1,08:23:01,0 days 00:45:05
AIY_1,08:26:40,0 days 00:48:44
BUE_1,08:27:43,0 days 00:49:47
EHC_1,08:31:46,0 days 00:53:50
EHA_1,08:33:23,0 days 00:55:27
BFA_1,08:36:49,0 days 00:58:53
AFA_1,08:46:54,0 days 01:08:58
BHQ_1,08:48:08,0 days 01:10:12
CHH_1,08:49:02,0 days 01:11:06
BBD_1,08:51:22,0 days 01:13:26
